"t","TrueRt","Cases","simulation"
36,0.566987298107781,100,"Sinusoidal"
37,0.512536043909088,68,"Sinusoidal"
38,0.50139810140941,56,"Sinusoidal"
39,0.534563125677898,74,"Sinusoidal"
40,0.609084258765985,79,"Sinusoidal"
41,0.718339970968189,82,"Sinusoidal"
42,0.852622412794548,79,"Sinusoidal"
43,1,101,"Sinusoidal"
44,1.14737758720545,93,"Sinusoidal"
45,1.28166002903181,92,"Sinusoidal"
46,1.39091574123401,141,"Sinusoidal"
47,1.4654368743221,120,"Sinusoidal"
48,1.49860189859059,148,"Sinusoidal"
49,1.48746395609091,132,"Sinusoidal"
50,1.43301270189222,173,"Sinusoidal"
51,1.34008636888546,156,"Sinusoidal"
52,1.21694186955878,151,"Sinusoidal"
53,1.07452113308809,133,"Sinusoidal"
54,0.925478866911913,120,"Sinusoidal"
55,0.783058130441221,128,"Sinusoidal"
56,0.65991363111454,98,"Sinusoidal"
57,0.56698729810778,77,"Sinusoidal"
58,0.512536043909088,63,"Sinusoidal"
59,0.50139810140941,60,"Sinusoidal"
60,0.534563125677898,65,"Sinusoidal"
61,0.609084258765985,62,"Sinusoidal"
62,0.718339970968189,67,"Sinusoidal"
63,0.852622412794549,68,"Sinusoidal"
64,1,77,"Sinusoidal"
65,1.14737758720545,88,"Sinusoidal"
66,1.28166002903181,90,"Sinusoidal"
67,1.39091574123401,121,"Sinusoidal"
68,1.4654368743221,144,"Sinusoidal"
69,1.49860189859059,133,"Sinusoidal"
70,1.48746395609091,147,"Sinusoidal"
71,1.43301270189222,145,"Sinusoidal"
72,1.34008636888546,167,"Sinusoidal"
73,1.21694186955878,152,"Sinusoidal"
74,1.07452113308809,153,"Sinusoidal"
75,0.925478866911912,123,"Sinusoidal"
76,0.783058130441221,107,"Sinusoidal"
77,0.65991363111454,106,"Sinusoidal"
78,0.56698729810778,93,"Sinusoidal"
79,0.512536043909088,80,"Sinusoidal"
80,0.50139810140941,73,"Sinusoidal"
81,0.534563125677898,64,"Sinusoidal"
82,0.609084258765985,62,"Sinusoidal"
83,0.718339970968189,67,"Sinusoidal"
84,0.852622412794549,90,"Sinusoidal"
85,1,88,"Sinusoidal"
86,1.14737758720545,102,"Sinusoidal"
87,1.28166002903181,105,"Sinusoidal"
88,1.39091574123401,145,"Sinusoidal"
89,1.4654368743221,123,"Sinusoidal"
90,1.49860189859059,135,"Sinusoidal"
91,1.48746395609091,128,"Sinusoidal"
92,1.43301270189222,137,"Sinusoidal"
93,1.34008636888546,151,"Sinusoidal"
94,1.21694186955878,142,"Sinusoidal"
95,1.07452113308809,134,"Sinusoidal"
96,0.925478866911912,110,"Sinusoidal"
97,0.783058130441221,98,"Sinusoidal"
98,0.65991363111454,75,"Sinusoidal"
99,0.56698729810778,70,"Sinusoidal"
100,0.512536043909088,55,"Sinusoidal"
1,0.666666666666667,73,"Step change"
2,0.666666666666667,58,"Step change"
3,0.666666666666667,57,"Step change"
4,0.666666666666667,59,"Step change"
5,0.666666666666667,50,"Step change"
6,0.666666666666667,64,"Step change"
7,0.666666666666667,48,"Step change"
8,0.666666666666667,39,"Step change"
9,0.666666666666667,47,"Step change"
10,0.666666666666667,48,"Step change"
11,0.666666666666667,40,"Step change"
12,0.666666666666667,36,"Step change"
13,0.666666666666667,33,"Step change"
14,0.666666666666667,35,"Step change"
15,0.666666666666667,32,"Step change"
16,0.666666666666667,36,"Step change"
17,0.666666666666667,30,"Step change"
18,0.666666666666667,19,"Step change"
19,0.666666666666667,22,"Step change"
20,0.666666666666667,30,"Step change"
21,0.666666666666667,19,"Step change"
22,0.666666666666667,24,"Step change"
23,0.666666666666667,18,"Step change"
24,0.666666666666667,17,"Step change"
25,0.666666666666667,16,"Step change"
26,0.666666666666667,16,"Step change"
27,0.666666666666667,15,"Step change"
28,1.5,27,"Step change"
29,1.5,39,"Step change"
30,1.5,35,"Step change"
31,1.5,41,"Step change"
32,1.5,30,"Step change"
33,1.5,40,"Step change"
34,1.5,38,"Step change"
35,1.5,51,"Step change"
36,1.5,51,"Step change"
37,1.5,50,"Step change"
38,1.5,63,"Step change"
39,1.5,64,"Step change"
40,1.5,64,"Step change"
41,1.5,71,"Step change"
42,1.5,73,"Step change"
43,1.5,79,"Step change"
44,1.5,83,"Step change"
45,1.5,102,"Step change"
46,1.5,87,"Step change"
47,1.5,94,"Step change"
48,1.5,110,"Step change"
49,1.5,115,"Step change"
50,1.5,119,"Step change"
51,1.5,154,"Step change"
52,1.5,138,"Step change"
53,1.5,163,"Step change"
54,1.5,163,"Step change"
55,1.5,158,"Step change"
56,0.666666666666667,70,"Step change"
57,0.666666666666667,101,"Step change"
58,0.666666666666667,91,"Step change"
59,0.666666666666667,70,"Step change"
60,0.666666666666667,84,"Step change"
