"Mean","Lower","Upper","CRPS","t","variable","simulation","TrueValue"
0.572859486764981,0.155822910017337,0.989896063512625,NA,39,"R","Sinusoidal",0.534563125677898
0.618678985334316,0.169768052453017,1.06758991821561,NA,40,"R","Sinusoidal",0.609084258765985
0.687694312950894,0.194405857129487,1.1809827687723,NA,41,"R","Sinusoidal",0.718339970968189
0.77957861558281,0.232260951714945,1.32689627945067,NA,42,"R","Sinusoidal",0.852622412794548
0.893137884727174,0.284912673545075,1.50136309590927,NA,43,"R","Sinusoidal",1
1.02487216785025,0.355359688168365,1.69438464753213,NA,44,"R","Sinusoidal",1.14737758720545
1.16746240341256,0.444347528866376,1.89057727795875,NA,45,"R","Sinusoidal",1.28166002903181
1.30852829255959,0.539548521534885,2.07750806358429,NA,46,"R","Sinusoidal",1.39091574123401
1.43031322821665,0.634881648929678,2.22574480750362,NA,47,"R","Sinusoidal",1.4654368743221
1.51567250909952,0.721018758808759,2.31032625939028,NA,48,"R","Sinusoidal",1.49860189859059
1.54770132454309,0.773022173331258,2.32238047575492,NA,49,"R","Sinusoidal",1.48746395609091
1.51385335713029,0.774445253391441,2.25326146086914,NA,50,"R","Sinusoidal",1.43301270189222
1.40984095506278,0.716902081485863,2.1027798286397,NA,51,"R","Sinusoidal",1.34008636888546
1.26441996994815,0.627899940342579,1.90093999955372,NA,52,"R","Sinusoidal",1.21694186955878
1.10458276683714,0.523822162483841,1.68534337119044,NA,53,"R","Sinusoidal",1.07452113308809
0.950746495539428,0.420317514885265,1.48117547619359,NA,54,"R","Sinusoidal",0.925478866911913
0.815636637411346,0.327550990868724,1.30372228395397,NA,55,"R","Sinusoidal",0.783058130441221
0.705554966779492,0.253355416432239,1.15775451712675,NA,56,"R","Sinusoidal",0.65991363111454
0.622621514346456,0.199663992796896,1.04557903589602,NA,57,"R","Sinusoidal",0.56698729810778
0.567073248664464,0.162454013470388,0.97169248385854,NA,58,"R","Sinusoidal",0.512536043909088
0.53929928408463,0.13947868808956,0.939119880079699,NA,59,"R","Sinusoidal",0.50139810140941
0.541790511185778,0.131415724861395,0.95216529751016,NA,60,"R","Sinusoidal",0.534563125677898
0.577357455265168,0.140308710292376,1.01440620023796,NA,61,"R","Sinusoidal",0.609084258765985
0.644193656542211,0.163900780417223,1.1244865326672,NA,62,"R","Sinusoidal",0.718339970968189
0.742817882576595,0.203041574544908,1.28259419060828,NA,63,"R","Sinusoidal",0.852622412794549
0.873731917281642,0.26146486922381,1.48599896533947,NA,64,"R","Sinusoidal",1
1.03478291046216,0.343071935967512,1.7264938849568,NA,65,"R","Sinusoidal",1.14737758720545
1.21802739461462,0.450616548063709,1.98543824116553,NA,66,"R","Sinusoidal",1.28166002903181
1.4066342020953,0.57670985665476,2.23655854753583,NA,67,"R","Sinusoidal",1.39091574123401
1.57331202549128,0.705377609623054,2.4412464413595,NA,68,"R","Sinusoidal",1.4654368743221
1.68250287946814,0.815109948711082,2.54989581022519,NA,69,"R","Sinusoidal",1.49860189859059
1.69822283579772,0.861451379599039,2.53499429199641,NA,70,"R","Sinusoidal",1.48746395609091
1.62924280340797,0.837522346638355,2.42096326017759,NA,71,"R","Sinusoidal",1.43301270189222
1.50015627676548,0.761495012343476,2.23881754118749,NA,72,"R","Sinusoidal",1.34008636888546
1.33856203888495,0.657691145996231,2.01943293177367,NA,73,"R","Sinusoidal",1.21694186955878
1.16940419948466,0.548007574888661,1.79080082408065,NA,74,"R","Sinusoidal",1.07452113308809
1.01063538989924,0.444391269971764,1.57687950982671,NA,75,"R","Sinusoidal",0.925478866911912
0.87301690120691,0.354171412071172,1.39186239034265,NA,76,"R","Sinusoidal",0.783058130441221
0.761659900424261,0.278896087694622,1.2444237131539,NA,77,"R","Sinusoidal",0.65991363111454
0.678165389593016,0.221320491882028,1.135010287304,NA,78,"R","Sinusoidal",0.56698729810778
0.622699026824387,0.182367748476414,1.06303030517236,NA,79,"R","Sinusoidal",0.512536043909088
0.595824009491743,0.160381960862392,1.03126605812109,NA,80,"R","Sinusoidal",0.50139810140941
0.600307957117688,0.155540502633248,1.04507541160213,NA,81,"R","Sinusoidal",0.534563125677898
0.638943423947883,0.168272064447564,1.1096147834482,NA,82,"R","Sinusoidal",0.609084258765985
0.708516824344337,0.193746449057384,1.22328719963129,NA,83,"R","Sinusoidal",0.718339970968189
0.807226733447036,0.231727720204355,1.38272574668972,NA,84,"R","Sinusoidal",0.852622412794549
0.931871688629137,0.287256702187661,1.57648667507061,NA,85,"R","Sinusoidal",1
1.07497598976201,0.363949741690178,1.78600223783384,NA,86,"R","Sinusoidal",1.14737758720545
1.22210293479114,0.454374662734025,1.98983120684825,NA,87,"R","Sinusoidal",1.28166002903181
1.35048338298121,0.541944331040138,2.15902243492228,NA,88,"R","Sinusoidal",1.39091574123401
1.43574675763995,0.609666186295129,2.26182732898477,NA,89,"R","Sinusoidal",1.4654368743221
1.47221035938052,0.650360309361365,2.29406040939967,NA,90,"R","Sinusoidal",1.49860189859059
1.4596997015269,0.648297459995108,2.27110194305869,NA,91,"R","Sinusoidal",1.48746395609091
1.40295668109569,0.603711997015223,2.20220136517615,NA,92,"R","Sinusoidal",1.43301270189222
1.31030586287188,0.523395873540389,2.09721585220337,NA,93,"R","Sinusoidal",1.34008636888546
