eta,p,movingaverage,model
0.228,5.071147931547519e-6,Raw,EpiFilter
0.22899999999999998,6.386753199464938e-6,Raw,EpiFilter
0.23,8.008001636652006e-6,Raw,EpiFilter
0.231,9.99683619885025e-6,Raw,EpiFilter
0.232,1.2425655629274469e-5,Raw,EpiFilter
0.233,1.537864072193298e-5,Raw,EpiFilter
0.23399999999999999,1.895316562221515e-5,Raw,EpiFilter
0.235,2.3261284246669225e-5,Raw,EpiFilter
0.236,2.843127851079704e-5,Raw,EpiFilter
0.23700000000000002,3.460925141601633e-5,Raw,EpiFilter
0.23800000000000002,4.196074422625734e-5,Raw,EpiFilter
0.239,5.0672353038230105e-5,Raw,EpiFilter
0.24,6.0953316106076045e-5,Raw,EpiFilter
0.241,7.303703942597713e-5,Raw,EpiFilter
0.242,8.718252443375785e-5,Raw,EpiFilter
0.24300000000000002,0.00010367565833962046,Raw,EpiFilter
0.24400000000000002,0.00012283032475501188,Raw,EpiFilter
0.245,0.00014498928997962472,Raw,EpiFilter
0.246,0.00017052481875119252,Raw,EpiFilter
0.247,0.00019983897253716905,Raw,EpiFilter
0.248,0.00023336354368048778,Raw,EpiFilter
0.249,0.00027155958000238677,Raw,EpiFilter
0.25,0.0003149164568940305,Raw,EpiFilter
0.251,0.0003639504575503877,Raw,EpiFilter
0.252,0.00041920282684992184,Raw,EpiFilter
0.253,0.0004812372704513803,Raw,EpiFilter
0.254,0.000550636877943853,Raw,EpiFilter
0.255,0.0006280004572672407,Raw,EpiFilter
0.256,0.0007139382770293049,Raw,EpiFilter
0.257,0.0008090672236169628,Raw,EpiFilter
0.25799999999999995,0.0009140053910160964,Raw,EpiFilter
0.259,0.001029366132751561,Raw,EpiFilter
0.26,0.001155751617154096,Raw,EpiFilter
0.261,0.0012937459390023086,Raw,EpiFilter
0.262,0.0014439078521904258,Raw,EpiFilter
0.26299999999999996,0.0016067631992080543,Raw,EpiFilter
0.264,0.001782797123525349,Raw,EpiFilter
0.26499999999999996,0.001972446160329971,Raw,EpiFilter
0.266,0.002176090309043853,Raw,EpiFilter
0.267,0.0023940451975519883,Raw,EpiFilter
0.268,0.002626554452822975,Raw,EpiFilter
0.269,0.0028737823954324876,Raw,EpiFilter
0.26999999999999996,0.0031358071762655365,Raw,EpiFilter
0.271,0.003412614472415196,Raw,EpiFilter
0.272,0.003704091855598836,Raw,EpiFilter
0.273,0.0040100239408393055,Raw,EpiFilter
0.274,0.0043300884152253135,Raw,EpiFilter
0.27499999999999997,0.004663853036694856,Raw,EpiFilter
0.276,0.005010773681016572,Raw,EpiFilter
0.27699999999999997,0.005370193501733963,Raw,EpiFilter
0.278,0.005741343252911799,Raw,EpiFilter
0.279,0.0061233428084057,Raw,EpiFilter
0.27999999999999997,0.006515203894477475,Raw,EpiFilter
0.281,0.006915834035053102,Raw,EpiFilter
0.282,0.0073240416910166604,Raw,EpiFilter
0.28300000000000003,0.007738542557363949,Raw,EpiFilter
0.284,0.008157966964825002,Raw,EpiFilter
0.285,0.008580868315912295,Raw,EpiFilter
0.28600000000000003,0.009005732470073101,Raw,EpiFilter
0.287,0.009430987978411645,Raw,EpiFilter
0.28800000000000003,0.009855017056065314,Raw,EpiFilter
0.289,0.010276167169420484,Raw,EpiFilter
0.29,0.010692763106979813,Raw,EpiFilter
0.291,0.011103119395724628,Raw,EpiFilter
0.292,0.011505552920680857,Raw,EpiFilter
0.29300000000000004,0.01189839560329601,Raw,EpiFilter
0.294,0.012280006994186018,Raw,EpiFilter
0.295,0.012648786638242388,Raw,EpiFilter
0.296,0.01300318607466971,Raw,EpiFilter
0.297,0.013341720340716024,Raw,EpiFilter
0.29800000000000004,0.013662978856510454,Raw,EpiFilter
0.299,0.013965635577912965,Raw,EpiFilter
0.30000000000000004,0.01424845831614232,Raw,EpiFilter
0.301,0.014510317135186234,Raw,EpiFilter
0.302,0.014750191751756951,Raw,EpiFilter
0.303,0.014967177876640626,Raw,EpiFilter
0.304,0.015160492451107803,Raw,EpiFilter
0.30500000000000005,0.01532947774692927,Raw,EpiFilter
0.306,0.015473604313359647,Raw,EpiFilter
0.307,0.015592472768830063,Raw,EpiFilter
0.308,0.015685814449667025,Raw,EpiFilter
0.309,0.01575349094072825,Raw,EpiFilter
0.31,0.015795492525994947,Raw,EpiFilter
0.311,0.015811935608174517,Raw,EpiFilter
0.312,0.01580305915695138,Raw,EpiFilter
0.313,0.015769220253932886,Raw,EpiFilter
0.314,0.015710888811130405,Raw,EpiFilter
0.315,0.015628641544682638,Raw,EpiFilter
0.316,0.01552315529182046,Raw,EpiFilter
0.317,0.015395199761470905,Raw,EpiFilter
0.318,0.015245629811999416,Raw,EpiFilter
0.319,0.015075377349493284,Raw,EpiFilter
0.32,0.014885442940451594,Raw,EpiFilter
0.321,0.01467688723055227,Raw,EpiFilter
0.32199999999999995,0.014450822258664307,Raw,EpiFilter
0.323,0.01420840275199281,Raw,EpiFilter
0.324,0.013950817483130594,Raw,EpiFilter
0.325,0.013679280765092209,Raw,EpiFilter
0.326,0.013395024154619855,Raw,EpiFilter
0.32699999999999996,0.013099288427070371,Raw,EpiFilter
0.328,0.012793315880504629,Raw,EpiFilter
0.32899999999999996,0.012478343018835776,Raw,EpiFilter
0.33,0.012155593657265283,Raw,EpiFilter
0.331,0.0118262724860096,Raw,EpiFilter
0.332,0.011491559121337655,Raw,EpiFilter
0.333,0.011152602666038368,Raw,EpiFilter
0.33399999999999996,0.010810516794699418,Raw,EpiFilter
0.335,0.010466375373127269,Raw,EpiFilter
0.33599999999999997,0.01012120861485774,Raw,EpiFilter
0.337,0.009775999772519275,Raw,EpiFilter
0.338,0.009431682356439255,Raw,EpiFilter
0.33899999999999997,0.009089137868434419,Raw,EpiFilter
0.34,0.008749194034397268,Raw,EpiFilter
0.34099999999999997,0.008412623515833127,Raw,EpiFilter
0.342,0.008080143077326525,Raw,EpiFilter
0.343,0.00775241318421514,Raw,EpiFilter
0.344,0.007430038002842758,Raw,EpiFilter
0.34500000000000003,0.007113565773873968,Raw,EpiFilter
0.346,0.006803489528162781,Raw,EpiFilter
0.34700000000000003,0.006500248113857427,Raw,EpiFilter
0.348,0.0062042275029943784,Raw,EpiFilter
0.349,0.0059157623459368276,Raw,EpiFilter
0.35000000000000003,0.005635137742434002,Raw,EpiFilter
0.351,0.005362591198400073,Raw,EpiFilter
0.35200000000000004,0.005098314738880723,Raw,EpiFilter
0.353,0.004842457148374936,Raw,EpiFilter
0.354,0.004595126311324489,Raw,EpiFilter
0.355,0.004356391626865499,Raw,EpiFilter
0.356,0.004126286473600425,Raw,EpiFilter
0.35700000000000004,0.0039048107019814524,Raw,EpiFilter
0.358,0.003691933133402895,Raw,EpiFilter
0.359,0.0034875940471336205,Raw,EpiFilter
0.36,0.0032917076380036218,Raw,EpiFilter
0.361,0.003104164429444826,Raw,EpiFilter
0.362,0.002924833628439738,Raw,EpiFilter
0.363,0.002753565410603699,Raw,EpiFilter
0.36400000000000005,0.002590193125277445,Raw,EpiFilter
0.365,0.0024345354122475306,Raw,EpiFilter
0.366,0.0022863982230617776,Raw,EpiFilter
0.367,0.002145576741588895,Raw,EpiFilter
0.368,0.0020118571995889093,Raw,EpiFilter
0.36900000000000005,0.001885018584513594,Raw,EpiFilter
0.37,0.001764834237772792,Raw,EpiFilter
0.371,0.0016510733428202438,Raw,EpiFilter
0.372,0.001543502303351029,Raw,EpiFilter
0.373,0.0014418860127116662,Raw,EpiFilter
0.374,0.001345989016433405,Raw,EpiFilter
0.375,0.0012555765703880126,Raw,EpiFilter
0.376,0.0011704155976627153,Raw,EpiFilter
0.377,0.0010902755476984568,Raw,EpiFilter
0.378,0.0010149291616590572,Raw,EpiFilter
0.379,0.0009441531482552197,Raw,EpiFilter
0.38,0.0008777287745549369,Raw,EpiFilter
0.38099999999999995,0.0008154423764238637,Raw,EpiFilter
0.382,0.0007570857934107454,Raw,EpiFilter
0.383,0.0007024567329028598,Raw,EpiFilter
0.384,0.0006513590684334482,Raw,EpiFilter
0.385,0.0006036030769604306,Raw,EpiFilter
0.38599999999999995,0.0005590056198897813,Raw,EpiFilter
0.387,0.0005173902725028732,Raw,EpiFilter
0.388,0.0004785874063225761,Raw,EpiFilter
0.389,0.0004424342288078655,Raw,EpiFilter
0.39,0.0004087747845822096,Raw,EpiFilter
0.39099999999999996,0.0003774599222308467,Raw,EpiFilter
0.392,0.0003483472304902306,Raw,EpiFilter
0.39299999999999996,0.00032130094745470015,Raw,EpiFilter
0.394,0.0002961918462121911,Raw,EpiFilter
0.395,0.0002728971001019401,Raw,EpiFilter
0.396,0.0002513001305808026,Raw,EpiFilter
0.397,0.0002312904404554144,Raw,EpiFilter
0.39799999999999996,0.00021276343504444265,Raw,EpiFilter
0.399,0.00019562023361477095,Raw,EpiFilter
0.39999999999999997,0.00017976747324138974,Raw,EpiFilter
0.401,0.00016511710704674636,Raw,EpiFilter
0.402,0.0001515861985889927,Raw,EpiFilter
0.40299999999999997,0.00013909671398954122,Raw,EpiFilter
0.404,0.00012757531322747255,Raw,EpiFilter
0.40499999999999997,0.00011695314186289126,Raw,EpiFilter
0.406,0.00010716562430699191,Raw,EpiFilter
0.407,9.815225961351816e-5,Raw,EpiFilter
0.408,8.985642063930319e-5,Raw,EpiFilter
0.40900000000000003,8.222515729695441e-5,Raw,EpiFilter
0.41,7.520900451526196e-5,Raw,EpiFilter
0.41100000000000003,6.876179541776048e-5,Raw,EpiFilter
0.412,6.28404801384384e-5,Raw,EpiFilter
0.413,5.7404950605819634e-5,Raw,EpiFilter
0.41400000000000003,5.241787155249858e-5,Raw,EpiFilter
0.415,4.784451793639953e-5,Raw,EpiFilter
0.41600000000000004,4.365261889697168e-5,Raw,EpiFilter
0.417,3.9812208316166804e-5,Raw,EpiFilter
0.418,3.629548200341887e-5,Raw,EpiFilter
0.419,3.307666148193583e-5,Raw,EpiFilter
0.42,3.0131864315221628e-5,Raw,EpiFilter
0.42100000000000004,2.743898088140954e-5,Raw,EpiFilter
0.422,2.4977557474450203e-5,Raw,EpiFilter
0.42300000000000004,2.272868558816808e-5,Raw,EpiFilter
0.424,2.0674897220196324e-5,Raw,EpiFilter
0.425,1.8800066016172166e-5,Raw,EpiFilter
0.426,1.708931406267998e-5,Raw,EpiFilter
0.427,1.5528924127362803e-5,Raw,EpiFilter
0.42800000000000005,1.4106257137377975e-5,Raw,EpiFilter
0.429,1.2809674682943356e-5,Raw,EpiFilter
0.43,1.1628466329676008e-5,Raw,EpiFilter
0.431,1.0552781522371154e-5,Raw,EpiFilter
0.432,9.573565863747396e-6,Raw,EpiFilter
0.43300000000000005,8.682501553193274e-6,Raw,EpiFilter
0.434,7.87195177412819e-6,Raw,EpiFilter
0.435,7.134908822036074e-6,Raw,EpiFilter
0.436,6.464945770791925e-6,Raw,EpiFilter
0.437,5.85617147978228e-6,Raw,EpiFilter
0.438,5.303188751036971e-6,Raw,EpiFilter
0.439,4.801055451581777e-6,Raw,EpiFilter
0.44,4.345248423441238e-6,Raw,EpiFilter
0.441,3.931630010651386e-6,Raw,EpiFilter
0.442,3.556417039836468e-6,Raw,EpiFilter
0.443,3.2161520983368924e-6,Raw,EpiFilter
0.444,2.9076769610498757e-6,Raw,EpiFilter
0.44499999999999995,2.6281080245804634e-6,Raw,EpiFilter
0.446,2.374813614366231e-6,Raw,EpiFilter
0.447,2.1453930376384717e-6,Raw,EpiFilter
0.448,1.9376572619124433e-6,Raw,EpiFilter
