eta,p,simulation,model
0.169,0.00036589216934499136,Random walk,EpiFilter
0.16999999999999998,0.0003263801378354939,Random walk,EpiFilter
0.17099999999999999,0.0002908588446268906,Random walk,EpiFilter
0.17200000000000001,0.00025896228677834435,Random walk,EpiFilter
0.17300000000000001,0.00023035310235419812,Random walk,EpiFilter
0.17400000000000002,0.0002047209891444085,Random walk,EpiFilter
0.175,0.00018178111652196206,Random walk,EpiFilter
0.176,0.00016127254798494202,Random walk,EpiFilter
0.177,0.00014295668902897222,Random walk,EpiFilter
0.178,0.00012661577237034968,Random walk,EpiFilter
0.17900000000000002,0.00011205139018108399,Random walk,EpiFilter
0.18,9.9083080902347e-5,Random walk,EpiFilter
0.181,8.754697635044188e-5,Random walk,EpiFilter
0.182,7.729451321137575e-5,Random walk,EpiFilter
0.183,6.819121161829331e-5,Random walk,EpiFilter
0.184,6.011552230247192e-5,Random walk,EpiFilter
0.18500000000000003,5.295774278800588e-5,Random walk,EpiFilter
0.186,4.661900224645485e-5,Random walk,EpiFilter
0.187,4.101031392137344e-5,Random walk,EpiFilter
0.188,3.6051693460934005e-5,Random walk,EpiFilter
0.189,3.167134104216131e-5,Random walk,EpiFilter
0.19,2.780488482014197e-5,Random walk,EpiFilter
0.19099999999999998,2.439468297560416e-5,Random walk,EpiFilter
0.192,2.1389181452018e-5,Random walk,EpiFilter
0.193,1.8742324358776875e-5,Random walk,EpiFilter
0.194,1.6413013958323538e-5,Random walk,EpiFilter
0.195,1.4364617144042248e-5,Random walk,EpiFilter
0.19599999999999998,1.2564515343817032e-5,Random walk,EpiFilter
0.19699999999999998,1.0983694843975351e-5,Random walk,EpiFilter
0.198,9.596374613319514e-6,Random walk,EpiFilter
0.199,8.379668811679386e-6,Random walk,EpiFilter
0.2,7.313281287058003e-6,Random walk,EpiFilter
0.201,6.379229495198228e-6,Random walk,EpiFilter
0.20199999999999999,5.561595412629821e-6,Random walk,EpiFilter
0.20299999999999999,4.8463011549387855e-6,Random walk,EpiFilter
0.204,4.220907154474655e-6,Random walk,EpiFilter
0.20500000000000002,3.6744308932790407e-6,Random walk,EpiFilter
0.20600000000000002,3.197184326404873e-6,Random walk,EpiFilter
0.207,2.7806282664125084e-6,Random walk,EpiFilter
0.208,2.4172421308295083e-6,Random walk,EpiFilter
0.209,2.1004075798320687e-6,Random walk,EpiFilter
0.21,1.824304690880572e-6,Random walk,EpiFilter
0.21100000000000002,1.583819430105564e-6,Random walk,EpiFilter
0.21200000000000002,1.3744612866963717e-6,Random walk,EpiFilter
0.213,1.1922900363107494e-6,Random walk,EpiFilter
0.214,1.0338506926129514e-6,Random walk,EpiFilter
0.215,8.961157925727109e-7,Random walk,EpiFilter
0.216,7.764342412909831e-7,Random walk,EpiFilter
0.217,6.724860160855312e-7,Random walk,EpiFilter
0.218,5.82242097627697e-7,Random walk,EpiFilter
0.219,5.039290583663268e-7,Random walk,EpiFilter
0.22,4.359977956213846e-7,Random walk,EpiFilter
0.221,3.7709594887560864e-7,Random walk,EpiFilter
0.222,3.2604358828162264e-7,Random walk,EpiFilter
0.22299999999999998,2.818118045348552e-7,Random walk,EpiFilter
0.224,2.435038693745087e-7,Random walk,EpiFilter
0.225,2.103386713414375e-7,Random walk,EpiFilter
0.226,1.816361633731849e-7,Random walk,EpiFilter
0.227,1.5680458759536643e-7,Random walk,EpiFilter
0.228,1.3532926857364618e-7,Random walk,EpiFilter
0.22899999999999998,1.1676278954789563e-7,Random walk,EpiFilter
0.23,1.0071638703031032e-7,Random walk,EpiFilter
0.231,8.685241782426984e-8,Random walk,EpiFilter
0.232,7.487776921683132e-8,Random walk,EpiFilter
0.233,6.453809800237764e-8,Random walk,EpiFilter
0.23399999999999999,5.561279728368399e-8,Random walk,EpiFilter
0.235,4.791060182770149e-8,Random walk,EpiFilter
0.236,4.1265753274596016e-8,Random walk,EpiFilter
0.23700000000000002,3.5534655841722414e-8,Random walk,EpiFilter
0.23800000000000002,3.0592961454563525e-8,Random walk,EpiFilter
0.239,2.6333030580354455e-8,Random walk,EpiFilter
0.24,2.266172154267602e-8,Random walk,EpiFilter
0.241,1.9498466842589025e-8,Random walk,EpiFilter
0.242,1.677360009038359e-8,Random walk,EpiFilter
0.24300000000000002,1.4426901631718402e-8,Random walk,EpiFilter
0.24400000000000002,1.2406334902305018e-8,Random walk,EpiFilter
0.245,1.0666949023924109e-8,Random walk,EpiFilter
0.246,9.169926215745135e-9,Random walk,EpiFilter
0.247,7.881755286666504e-9,Random walk,EpiFilter
0.248,6.7735148382905305e-9,Random walk,EpiFilter
0.249,5.820251883665811e-9,Random walk,EpiFilter
0.25,5.000443406879801e-9,Random walk,EpiFilter
0.251,4.295529983525934e-9,Random walk,EpiFilter
0.252,3.689511978922141e-9,Random walk,EpiFilter
0.253,3.168600063141696e-9,Random walk,EpiFilter
0.254,2.7209128507314638e-9,Random walk,EpiFilter
0.255,2.3362154069687363e-9,Random walk,EpiFilter
0.256,2.0056931780694527e-9,Random walk,EpiFilter
0.257,1.7217566145879176e-9,Random walk,EpiFilter
0.25799999999999995,1.4778723779732409e-9,Random walk,EpiFilter
0.259,1.268417561372732e-9,Random walk,EpiFilter
0.26,1.0885538270755212e-9,Random walk,EpiFilter
0.261,9.34118773358912e-10,Random walk,EpiFilter
0.262,8.015322005375347e-10,Random walk,EpiFilter
0.26299999999999996,6.877152565165284e-10,Random walk,EpiFilter
0.264,5.900207120301258e-10,Random walk,EpiFilter
0.26499999999999996,5.061728502033788e-10,Random walk,EpiFilter
0.266,4.3421565863907885e-10,Random walk,EpiFilter
0.267,3.7246818891459103e-10,Random walk,EpiFilter
0.268,3.194861016260361e-10,Random walk,EpiFilter
0.269,2.7402854800186684e-10,Random walk,EpiFilter
0.26999999999999996,2.350296542739776e-10,Random walk,EpiFilter
0.271,2.0157397476166544e-10,Random walk,EpiFilter
0.272,1.728753660153763e-10,Random walk,EpiFilter
0.273,1.4825880914465866e-10,Random walk,EpiFilter
0.274,1.271447721539296e-10,Random walk,EpiFilter
0.27499999999999997,1.0903576006971226e-10,Random walk,EpiFilter
0.276,9.350474901948188e-11,Random walk,EpiFilter
0.27699999999999997,8.018524223592524e-11,Random walk,EpiFilter
0.278,6.876272208301157e-11,Random walk,EpiFilter
0.279,5.896730339631176e-11,Random walk,EpiFilter
0.27999999999999997,5.056742036550289e-11,Random walk,EpiFilter
0.281,4.336440243213927e-11,Random walk,EpiFilter
0.282,3.718781473292963e-11,Random walk,EpiFilter
0.28300000000000003,3.1891455918232647e-11,Random walk,EpiFilter
0.284,2.734992109266992e-11,Random walk,EpiFilter
0.285,2.3455650483578835e-11,Random walk,EpiFilter
0.28600000000000003,2.0116395525331257e-11,Random walk,EpiFilter
0.287,1.7253043594283243e-11,Random walk,EpiFilter
0.28800000000000003,1.479775085370416e-11,Random walk,EpiFilter
0.289,1.2692339748864556e-11,Random walk,EpiFilter
0.29,1.0886923789389761e-11,Random walk,EpiFilter
0.291,9.338727502937594e-12,Random walk,EpiFilter
0.292,8.011073959774893e-12,Random walk,EpiFilter
0.29300000000000004,6.872516152213962e-12,Random walk,EpiFilter
0.294,5.896091854127947e-12,Random walk,EpiFilter
0.295,5.0586844590688065e-12,Random walk,EpiFilter
0.296,4.340474765801224e-12,Random walk,EpiFilter
0.297,3.724470803714428e-12,Random walk,EpiFilter
0.29800000000000004,3.196104615630209e-12,Random walk,EpiFilter
0.299,2.7428864838759733e-12,Random walk,EpiFilter
0.30000000000000004,2.354108432915439e-12,Random walk,EpiFilter
0.301,2.0205899992752015e-12,Random walk,EpiFilter
0.302,1.7344602536441597e-12,Random walk,EpiFilter
