eta,peta,simulation,model,fit
0.4191278195488722,6.863071693524462e-20,Random walk,EpiFilter,SI Uncertainty
0.4216315789473684,4.924245585225343e-20,Random walk,EpiFilter,SI Uncertainty
0.42413533834586464,3.538379920691888e-20,Random walk,EpiFilter,SI Uncertainty
0.4266390977443609,2.5463189869439635e-20,Random walk,EpiFilter,SI Uncertainty
0.4291428571428571,1.8351203995638886e-20,Random walk,EpiFilter,SI Uncertainty
0.43164661654135333,1.3245225914312145e-20,Random walk,EpiFilter,SI Uncertainty
0.4341503759398496,9.574072385019786e-21,Random walk,EpiFilter,SI Uncertainty
0.43665413533834585,6.93068063649746e-21,Random walk,EpiFilter,SI Uncertainty
0.4391578947368421,5.024537251691699e-21,Random walk,EpiFilter,SI Uncertainty
0.4416616541353383,3.648012057313897e-21,Random walk,EpiFilter,SI Uncertainty
0.44416541353383454,2.6524996512710932e-21,Random walk,EpiFilter,SI Uncertainty
0.4466691729323308,1.9314879683871663e-21,Random walk,EpiFilter,SI Uncertainty
0.44917293233082706,1.4085260144733668e-21,Random walk,EpiFilter,SI Uncertainty
0.4516766917293233,1.0286612871301807e-21,Random walk,EpiFilter,SI Uncertainty
0.4541804511278195,7.523378622476379e-22,Random walk,EpiFilter,SI Uncertainty
0.45668421052631575,5.51041953761976e-22,Random walk,EpiFilter,SI Uncertainty
0.459187969924812,4.041901695970581e-22,Random walk,EpiFilter,SI Uncertainty
0.46169172932330826,2.9690271335422317e-22,Random walk,EpiFilter,SI Uncertainty
0.4641954887218045,2.1840763948105607e-22,Random walk,EpiFilter,SI Uncertainty
0.4666992481203007,1.608957320203249e-22,Random walk,EpiFilter,SI Uncertainty
0.46920300751879696,1.1869760903502672e-22,Random walk,EpiFilter,SI Uncertainty
0.4717067669172932,8.769155749071294e-23,Random walk,EpiFilter,SI Uncertainty
0.47421052631578947,6.487681106158055e-23,Random walk,EpiFilter,SI Uncertainty
0.4767142857142857,4.8065620630482736e-23,Random walk,EpiFilter,SI Uncertainty
0.47921804511278193,3.5660738810331035e-23,Random walk,EpiFilter,SI Uncertainty
0.48172180451127816,2.649440317612165e-23,Random walk,EpiFilter,SI Uncertainty
0.4842255639097744,1.97116598992579e-23,Random walk,EpiFilter,SI Uncertainty
0.4867293233082706,1.4685700594263596e-23,Random walk,EpiFilter,SI Uncertainty
0.4892330827067669,1.0956343996974145e-23,Random walk,EpiFilter,SI Uncertainty
