eta,p,movingaverage,model
0.19099999999999998,1.390655302130137e-9,Raw,EpiFilter
0.192,2.0263522408928176e-9,Raw,EpiFilter
0.193,2.9341486169326082e-9,Raw,EpiFilter
0.194,4.2223686324031384e-9,Raw,EpiFilter
0.195,6.039092588318998e-9,Raw,EpiFilter
0.19599999999999998,8.585445781039542e-9,Raw,EpiFilter
0.19699999999999998,1.2132861732678117e-8,Raw,EpiFilter
0.198,1.7045353307147555e-8,Raw,EpiFilter
0.199,2.3808046851227182e-8,Raw,EpiFilter
0.2,3.3063490421809656e-8,Raw,EpiFilter
0.201,4.5657539283859964e-8,Raw,EpiFilter
0.20199999999999999,6.269695119011305e-8,Raw,EpiFilter
0.20299999999999999,8.56211903129338e-8,Raw,EpiFilter
0.204,1.1629134041976292e-7,Raw,EpiFilter
0.20500000000000002,1.5709946144151217e-7,Raw,EpiFilter
0.20600000000000002,2.1110218324157473e-7,Raw,EpiFilter
0.207,2.8218280783543767e-7,Raw,EpiFilter
0.208,3.7524667534946857e-7,Raw,EpiFilter
0.209,4.964550252538084e-7,Raw,EpiFilter
0.21,6.535030351250953e-7,Raw,EpiFilter
0.21100000000000002,8.559481231660685e-7,Raw,EpiFilter
0.21200000000000002,1.1155949332718896e-6,Raw,EpiFilter
0.213,1.4469436546801577e-6,Raw,EpiFilter
0.214,1.8677084313713572e-6,Raw,EpiFilter
0.215,2.399412556282427e-6,Raw,EpiFilter
0.216,3.068066887405216e-6,Raw,EpiFilter
0.217,3.90493743187333e-6,Raw,EpiFilter
0.218,4.947407285587436e-6,Raw,EpiFilter
0.219,6.239937057644126e-6,Raw,EpiFilter
0.22,7.835126522134167e-6,Raw,EpiFilter
0.221,9.79487850157607e-6,Raw,EpiFilter
0.222,1.2191663881037218e-5,Raw,EpiFilter
0.22299999999999998,1.5109884172066187e-5,Raw,EpiFilter
0.224,1.864732519710924e-5,Raw,EpiFilter
0.225,2.291669226278618e-5,Raw,EpiFilter
0.226,2.804721366676203e-5,Raw,EpiFilter
0.227,3.418629558295234e-5,Raw,EpiFilter
0.228,4.150120735560871e-5,Raw,EpiFilter
0.22899999999999998,5.018077208095895e-5,Raw,EpiFilter
0.23,6.043703316003425e-5,Raw,EpiFilter
