eta,p,simulation,model
0.137,1.5245970361940752e-7,SIR,EpiFilter
0.13799999999999998,1.2507178988722323e-7,SIR,EpiFilter
0.13899999999999998,1.0257575125130777e-7,SIR,EpiFilter
0.14,8.410401423291576e-8,SIR,EpiFilter
0.14100000000000001,6.894152824000241e-8,SIR,EpiFilter
0.14200000000000002,5.6499238792390625e-8,SIR,EpiFilter
0.143,4.629211328982142e-8,SIR,EpiFilter
0.144,3.79209508627889e-8,SIR,EpiFilter
0.145,3.1057334868007196e-8,SIR,EpiFilter
0.146,2.543119317865144e-8,SIR,EpiFilter
0.14700000000000002,2.082052074421636e-8,SIR,EpiFilter
0.148,1.704289365715306e-8,SIR,EpiFilter
0.149,1.3948466464697801e-8,SIR,EpiFilter
0.15,1.1414196654589181e-8,SIR,EpiFilter
0.151,9.339083776977557e-9,SIR,EpiFilter
0.152,7.640246939844516e-9,SIR,EpiFilter
0.15300000000000002,6.249694612158523e-9,SIR,EpiFilter
0.154,5.1116657821879186e-9,SIR,EpiFilter
0.155,4.180442385005911e-9,SIR,EpiFilter
0.156,3.4185502362869155e-9,SIR,EpiFilter
0.157,2.795280078781505e-9,SIR,EpiFilter
0.158,2.28547225771797e-9,SIR,EpiFilter
0.15899999999999997,1.8685184051145404e-9,SIR,EpiFilter
0.16,1.527541676317072e-9,SIR,EpiFilter
0.161,1.248723833356728e-9,SIR,EpiFilter
0.162,1.020753049544743e-9,SIR,EpiFilter
0.163,8.343709183488233e-10,SIR,EpiFilter
0.16399999999999998,6.820009538064512e-10,SIR,EpiFilter
0.16499999999999998,5.574440080743445e-10,SIR,EpiFilter
0.166,4.556286192719908e-10,SIR,EpiFilter
0.167,3.7240643511541227e-10,SIR,EpiFilter
0.168,3.043846141011965e-10,SIR,EpiFilter
0.169,2.4878855183725994e-10,SIR,EpiFilter
0.16999999999999998,2.0334946981948333e-10,SIR,EpiFilter
0.17099999999999999,1.662123824668348e-10,SIR,EpiFilter
0.17200000000000001,1.3586076269782944e-10,SIR,EpiFilter
0.17300000000000001,1.1105488743619789e-10,SIR,EpiFilter
0.17400000000000002,9.078138751854901e-11,SIR,EpiFilter
0.175,7.421197243934246e-11,SIR,EpiFilter
0.176,6.066966644864504e-11,SIR,EpiFilter
0.177,4.960119292262455e-11,SIR,EpiFilter
0.178,4.0554390358634287e-11,SIR,EpiFilter
0.17900000000000002,3.3159745440379293e-11,SIR,EpiFilter
0.18,2.7115294303132565e-11,SIR,EpiFilter
0.181,2.2174278925958958e-11,SIR,EpiFilter
0.182,1.8135056849424246e-11,SIR,EpiFilter
0.183,1.4832853569647934e-11,SIR,EpiFilter
0.184,1.2133021613020117e-11,SIR,EpiFilter
0.18500000000000003,9.925531422964875e-12,SIR,EpiFilter
0.186,8.12046923110368e-12,SIR,EpiFilter
0.187,6.644358042224526e-12,SIR,EpiFilter
0.188,5.437151378694142e-12,SIR,EpiFilter
0.189,4.449776851622674e-12,SIR,EpiFilter
0.19,3.642129058491646e-12,SIR,EpiFilter
0.19099999999999998,2.981429654310889e-12,SIR,EpiFilter
0.192,2.440887447847486e-12,SIR,EpiFilter
0.193,1.9986036432643402e-12,SIR,EpiFilter
0.194,1.636677378241599e-12,SIR,EpiFilter
0.195,1.3404749095508415e-12,SIR,EpiFilter
0.19599999999999998,1.0980324996604043e-12,SIR,EpiFilter
0.19699999999999998,8.995685360555056e-13,SIR,EpiFilter
0.198,7.37084891916895e-13,SIR,EpiFilter
0.199,6.040411952569252e-13,SIR,EpiFilter
0.2,4.950886629992396e-13,SIR,EpiFilter
0.201,4.058525990145932e-13,SIR,EpiFilter
0.20199999999999999,3.327546507086828e-13,SIR,EpiFilter
0.20299999999999999,2.728675491137545e-13,SIR,EpiFilter
0.204,2.237963893354827e-13,SIR,EpiFilter
0.20500000000000002,1.8358159627176175e-13,SIR,EpiFilter
0.20600000000000002,1.5061960934395853e-13,SIR,EpiFilter
0.207,1.235980460484371e-13,SIR,EpiFilter
0.208,1.0144269723485746e-13,SIR,EpiFilter
0.209,8.327419149923511e-14,SIR,EpiFilter
0.21,6.837256183322999e-14,SIR,EpiFilter
0.21100000000000002,5.6148270950317706e-14,SIR,EpiFilter
0.21200000000000002,4.6118515788267315e-14,SIR,EpiFilter
0.213,3.78878474115003e-14,SIR,EpiFilter
0.214,3.113231876502606e-14,SIR,EpiFilter
0.215,2.5586516697985165e-14,SIR,EpiFilter
0.216,2.1032952291296512e-14,SIR,EpiFilter
0.217,1.729337961556371e-14,SIR,EpiFilter
0.218,1.4221691556788348e-14,SIR,EpiFilter
0.219,1.1698105496524517e-14,SIR,EpiFilter
0.22,9.624404051587348e-15,SIR,EpiFilter
0.221,7.92003891326435e-15,SIR,EpiFilter
0.222,6.518940832076386e-15,SIR,EpiFilter
0.22299999999999998,5.366907403949637e-15,SIR,EpiFilter
0.224,4.419463698304446e-15,SIR,EpiFilter
0.225,3.64010988320191e-15,SIR,EpiFilter
0.226,2.9988856289424027e-15,SIR,EpiFilter
0.227,2.471193846679425e-15,SIR,EpiFilter
0.228,2.0368367642647587e-15,SIR,EpiFilter
0.22899999999999998,1.6792258829812588e-15,SIR,EpiFilter
0.23,1.3847343440977732e-15,SIR,EpiFilter
0.231,1.142165947352722e-15,SIR,EpiFilter
0.232,9.423197366933035e-16,SIR,EpiFilter
0.233,7.776328916723484e-16,SIR,EpiFilter
0.23399999999999999,6.41887790797599e-16,SIR,EpiFilter
0.235,5.299716726019869e-16,SIR,EpiFilter
0.236,4.3767941480481728e-16,SIR,EpiFilter
0.23700000000000002,3.6155166631227044e-16,SIR,EpiFilter
0.23800000000000002,2.987419701855862e-16,SIR,EpiFilter
0.239,2.469076646409249e-16,SIR,EpiFilter
0.24,2.0412028991696943e-16,SIR,EpiFilter
0.241,1.6879199926757974e-16,SIR,EpiFilter
0.242,1.396151033588006e-16,SIR,EpiFilter
0.24300000000000002,1.1551239425956321e-16,SIR,EpiFilter
0.24400000000000002,9.559631872426762e-17,SIR,EpiFilter
0.245,7.913541749897988e-17,SIR,EpiFilter
0.246,6.552673179725522e-17,SIR,EpiFilter
0.247,5.427311122438194e-17,SIR,EpiFilter
0.248,4.496454855657602e-17,SIR,EpiFilter
