k,p,simulation,model,TrueParam,iter
9,0.0,Sinusoidal,EpiEstim,1600,1
10,0.0,Sinusoidal,EpiEstim,1600,1
11,0.0,Sinusoidal,EpiEstim,1600,1
12,0.0,Sinusoidal,EpiEstim,1600,1
13,0.0,Sinusoidal,EpiEstim,1600,1
14,0.0,Sinusoidal,EpiEstim,1600,1
15,0.0,Sinusoidal,EpiEstim,1600,1
16,0.0,Sinusoidal,EpiEstim,1600,1
17,0.0,Sinusoidal,EpiEstim,1600,1
18,0.0,Sinusoidal,EpiEstim,1600,1
19,0.0,Sinusoidal,EpiEstim,1600,1
20,0.0,Sinusoidal,EpiEstim,1600,1
21,0.0,Sinusoidal,EpiEstim,1600,1
22,0.0,Sinusoidal,EpiEstim,1600,1
23,0.0,Sinusoidal,EpiEstim,1600,1
24,0.0,Sinusoidal,EpiEstim,1600,1
25,0.0,Sinusoidal,EpiEstim,1600,1
26,0.0,Sinusoidal,EpiEstim,1600,1
27,0.0,Sinusoidal,EpiEstim,1600,1
28,0.0,Sinusoidal,EpiEstim,1600,1
29,0.0,Sinusoidal,EpiEstim,1600,1
30,0.0,Sinusoidal,EpiEstim,1600,1
1,1.0,Sinusoidal,EpiEstim,3200,1
2,4.346634133756664e-247,Sinusoidal,EpiEstim,3200,1
3,0.0,Sinusoidal,EpiEstim,3200,1
4,0.0,Sinusoidal,EpiEstim,3200,1
5,0.0,Sinusoidal,EpiEstim,3200,1
6,0.0,Sinusoidal,EpiEstim,3200,1
7,0.0,Sinusoidal,EpiEstim,3200,1
8,0.0,Sinusoidal,EpiEstim,3200,1
9,0.0,Sinusoidal,EpiEstim,3200,1
10,0.0,Sinusoidal,EpiEstim,3200,1
11,0.0,Sinusoidal,EpiEstim,3200,1
12,0.0,Sinusoidal,EpiEstim,3200,1
13,0.0,Sinusoidal,EpiEstim,3200,1
14,0.0,Sinusoidal,EpiEstim,3200,1
15,0.0,Sinusoidal,EpiEstim,3200,1
16,0.0,Sinusoidal,EpiEstim,3200,1
17,0.0,Sinusoidal,EpiEstim,3200,1
18,0.0,Sinusoidal,EpiEstim,3200,1
19,0.0,Sinusoidal,EpiEstim,3200,1
20,0.0,Sinusoidal,EpiEstim,3200,1
21,0.0,Sinusoidal,EpiEstim,3200,1
22,0.0,Sinusoidal,EpiEstim,3200,1
23,0.0,Sinusoidal,EpiEstim,3200,1
24,0.0,Sinusoidal,EpiEstim,3200,1
25,0.0,Sinusoidal,EpiEstim,3200,1
26,0.0,Sinusoidal,EpiEstim,3200,1
27,0.0,Sinusoidal,EpiEstim,3200,1
28,0.0,Sinusoidal,EpiEstim,3200,1
29,0.0,Sinusoidal,EpiEstim,3200,1
30,0.0,Sinusoidal,EpiEstim,3200,1
1,1.336921311174628e-63,Sinusoidal,EpiEstim,25,2
2,0.9874715484103582,Sinusoidal,EpiEstim,25,2
3,0.012528371585097151,Sinusoidal,EpiEstim,25,2
4,8.000454435317729e-8,Sinusoidal,EpiEstim,25,2
5,4.946713143193877e-16,Sinusoidal,EpiEstim,25,2
6,2.0128630065466884e-27,Sinusoidal,EpiEstim,25,2
7,3.203684899986816e-39,Sinusoidal,EpiEstim,25,2
8,6.894062008749265e-51,Sinusoidal,EpiEstim,25,2
9,5.355946552118538e-62,Sinusoidal,EpiEstim,25,2
10,4.6799203309703984e-71,Sinusoidal,EpiEstim,25,2
11,9.643138124940311e-80,Sinusoidal,EpiEstim,25,2
