k,p,simulation,model,TrueParam,iter
12,0.0,Step change,EpiEstim,10,1
13,0.0,Step change,EpiEstim,10,1
14,0.0,Step change,EpiEstim,10,1
15,0.0,Step change,EpiEstim,10,1
16,0.0,Step change,EpiEstim,10,1
17,0.0,Step change,EpiEstim,10,1
18,0.0,Step change,EpiEstim,10,1
19,0.0,Step change,EpiEstim,10,1
20,1.773943e-318,Step change,EpiEstim,10,1
21,5.47554271502768e-287,Step change,EpiEstim,10,1
22,2.388182015189512e-267,Step change,EpiEstim,10,1
23,6.577370118765062e-256,Step change,EpiEstim,10,1
24,6.9782808267546e-250,Step change,EpiEstim,10,1
25,3.6865053383543445e-250,Step change,EpiEstim,10,1
26,7.13691585219919e-254,Step change,EpiEstim,10,1
27,8.972833419263882e-261,Step change,EpiEstim,10,1
28,4.7585282380464324e-272,Step change,EpiEstim,10,1
29,9.961406359920356e-286,Step change,EpiEstim,10,1
30,3.2182141113812317e-301,Step change,EpiEstim,10,1
1,7.308370858341114e-82,Step change,EpiEstim,51,2
2,1.695557729765361e-8,Step change,EpiEstim,51,2
3,2.3421721136699866e-7,Step change,EpiEstim,51,2
4,2.1825473381231622e-5,Step change,EpiEstim,51,2
5,0.0011595412136557637,Step change,EpiEstim,51,2
6,0.16916919142627282,Step change,EpiEstim,51,2
7,0.6153344499274861,Step change,EpiEstim,51,2
8,0.13817430515598322,Step change,EpiEstim,51,2
9,0.04159684410207047,Step change,EpiEstim,51,2
10,0.02785098737761033,Step change,EpiEstim,51,2
11,0.0038947753571684997,Step change,EpiEstim,51,2
12,0.0018726149842883543,Step change,EpiEstim,51,2
13,0.0008208296099394832,Step change,EpiEstim,51,2
14,9.664081550814187e-5,Step change,EpiEstim,51,2
15,7.2635515712374445e-6,Step change,EpiEstim,51,2
16,4.0082766940873854e-7,Step change,EpiEstim,51,2
17,6.19137814688262e-8,Step change,EpiEstim,51,2
18,1.3042699920855017e-8,Step change,EpiEstim,51,2
19,3.4080577346987684e-9,Step change,EpiEstim,51,2
20,5.431172974909375e-10,Step change,EpiEstim,51,2
21,7.844183946590594e-11,Step change,EpiEstim,51,2
22,1.4956336614319538e-11,Step change,EpiEstim,51,2
23,3.1793551840926423e-12,Step change,EpiEstim,51,2
24,3.3343780983928247e-13,Step change,EpiEstim,51,2
25,3.5121140517584504e-14,Step change,EpiEstim,51,2
26,3.177746073362445e-15,Step change,EpiEstim,51,2
27,3.4045490022351767e-16,Step change,EpiEstim,51,2
28,4.4297311112766543e-17,Step change,EpiEstim,51,2
29,3.0264825290896774e-18,Step change,EpiEstim,51,2
