eta,p,simulation,model
0.14,1.2689043889817538e-5,NZCOVID,EpiFilter
0.14100000000000001,1.4976497615887136e-5,NZCOVID,EpiFilter
0.14200000000000002,1.7611895929581627e-5,NZCOVID,EpiFilter
0.143,2.063718666334961e-5,NZCOVID,EpiFilter
0.144,2.4097754766324666e-5,NZCOVID,EpiFilter
0.145,2.8042498374692166e-5,NZCOVID,EpiFilter
0.146,3.252388175323681e-5,NZCOVID,EpiFilter
0.14700000000000002,3.759796270857145e-5,NZCOVID,EpiFilter
0.148,4.3324392244088617e-5,NZCOVID,EpiFilter
0.149,4.976638443832359e-5,NZCOVID,EpiFilter
0.15,5.699065477902007e-5,NZCOVID,EpiFilter
0.151,6.506732547282606e-5,NZCOVID,EpiFilter
0.152,7.406979657078984e-5,NZCOVID,EpiFilter
0.15300000000000002,8.407458209904023e-5,NZCOVID,EpiFilter
0.154,9.516111075634665e-5,NZCOVID,EpiFilter
0.155,0.00010741149113157278,NZCOVID,EpiFilter
0.156,0.00012091024179697683,NZCOVID,EpiFilter
0.157,0.00013574398704344664,NZCOVID,EpiFilter
0.158,0.00015200111943322391,NZCOVID,EpiFilter
0.15899999999999997,0.00016977143075001122,NZCOVID,EpiFilter
0.16,0.0001891457133174334,NZCOVID,EpiFilter
0.161,0.00021021533403139763,NZCOVID,EpiFilter
0.162,0.00023307178380100392,NZCOVID,EpiFilter
0.163,0.00025780620541441705,NZCOVID,EpiFilter
0.16399999999999998,0.00028450890313475214,NZCOVID,EpiFilter
0.16499999999999998,0.00031326883758002103,NZCOVID,EpiFilter
0.166,0.00034417310965349063,NZCOVID,EpiFilter
0.167,0.0003773064374544555,NZCOVID,EpiFilter
0.168,0.0004127506302237521,NZCOVID,EpiFilter
0.169,0.0004505840634499086,NZCOVID,EpiFilter
0.16999999999999998,0.0004908811592924446,NZCOVID,EpiFilter
0.17099999999999999,0.0005337118764564191,NZCOVID,EpiFilter
0.17200000000000001,0.0005791412135898199,NZCOVID,EpiFilter
0.17300000000000001,0.0006272287301656884,NZCOVID,EpiFilter
0.17400000000000002,0.0006780280886573408,NZCOVID,EpiFilter
0.175,0.0007315866216269272,NZCOVID,EpiFilter
0.176,0.0007879449271201151,NZCOVID,EpiFilter
0.177,0.0008471364954967458,NZCOVID,EpiFilter
0.178,0.0009091873705463975,NZCOVID,EpiFilter
0.17900000000000002,0.0009741158474161874,NZCOVID,EpiFilter
0.18,0.0010419322095552277,NZCOVID,EpiFilter
0.181,0.0011126385065206065,NZCOVID,EpiFilter
0.182,0.0011862283741461243,NZCOVID,EpiFilter
0.183,0.001262686898190026,NZCOVID,EpiFilter
0.184,0.0013419905222274123,NZCOVID,EpiFilter
0.18500000000000003,0.0014241070001765894,NZCOVID,EpiFilter
0.186,0.0015089953934886858,NZCOVID,EpiFilter
0.187,0.0015966061126884798,NZCOVID,EpiFilter
0.188,0.001686881002600109,NZCOVID,EpiFilter
0.189,0.0017797534702902705,NZCOVID,EpiFilter
0.19,0.0018751486544380804,NZCOVID,EpiFilter
0.19099999999999998,0.001972983634579771,NZCOVID,EpiFilter
0.192,0.002073167678396762,NZCOVID,EpiFilter
0.193,0.002175602525006661,NZCOVID,EpiFilter
0.194,0.00228018270198685,NZCOVID,EpiFilter
0.195,0.0023867958736917697,NZCOVID,EpiFilter
0.19599999999999998,0.0024953232182783887,NZCOVID,EpiFilter
0.19699999999999998,0.0026056398307097574,NZCOVID,EpiFilter
0.198,0.0027176151489300255,NZCOVID,EpiFilter
0.199,0.002831113400322674,NZCOVID,EpiFilter
0.2,0.0029459940655163297,NZCOVID,EpiFilter
0.201,0.0030621123565989393,NZCOVID,EpiFilter
0.20199999999999999,0.0031793197067855345,NZCOVID,EpiFilter
0.20299999999999999,0.003297464268632319,NZCOVID,EpiFilter
0.204,0.0034163914179255934,NZCOVID,EpiFilter
0.20500000000000002,0.003535944260455772,NZCOVID,EpiFilter
0.20600000000000002,0.00365596413895498,NZCOVID,EpiFilter
0.207,0.0037762911376083893,NZCOVID,EpiFilter
0.208,0.0038967645816374388,NZCOVID,EpiFilter
0.209,0.004017223529602481,NZCOVID,EpiFilter
0.21,0.004137507256208113,NZCOVID,EpiFilter
0.21100000000000002,0.004257455723540978,NZCOVID,EpiFilter
0.21200000000000002,0.004376910038836211,NZCOVID,EpiFilter
0.213,0.004495712897010867,NZCOVID,EpiFilter
0.214,0.004613709006393184,NZCOVID,EpiFilter
0.215,0.004730745496227684,NZCOVID,EpiFilter
0.216,0.004846672304699817,NZCOVID,EpiFilter
0.217,0.004961342546415724,NZCOVID,EpiFilter
0.218,0.005074612858407962,NZCOVID,EpiFilter
0.219,0.005186343723919966,NZCOVID,EpiFilter
0.22,0.00529639977336972,NZCOVID,EpiFilter
0.221,0.005404650062056117,NZCOVID,EpiFilter
