t,swll,eta,simulation
53,-5.263187729921909,0.21,Random walk
54,-5.144388911741061,0.21,Random walk
55,-5.1715192140468105,0.21,Random walk
56,-5.311336395296151,0.21,Random walk
57,-5.256330523410503,0.21,Random walk
58,-5.436983492249248,0.21,Random walk
59,-5.4814654399220215,0.21,Random walk
60,-5.428727070167364,0.21,Random walk
61,-5.426819742199816,0.21,Random walk
62,-5.318376457665661,0.21,Random walk
63,-5.283986763978043,0.21,Random walk
64,-5.896043566562255,0.21,Random walk
65,-5.610616345215661,0.21,Random walk
66,-5.357053475726315,0.21,Random walk
67,-5.1734936151609086,0.21,Random walk
68,-5.229867240034164,0.21,Random walk
69,-5.26355801079467,0.21,Random walk
70,-4.992088845839949,0.21,Random walk
71,-5.049370150874359,0.21,Random walk
72,-4.934324202664472,0.21,Random walk
73,-4.778500453281132,0.21,Random walk
74,-4.626717164744441,0.21,Random walk
75,-4.548293563949203,0.21,Random walk
76,-4.505696312941526,0.21,Random walk
77,-5.243962978240648,0.21,Random walk
78,-4.885333577114374,0.21,Random walk
79,-4.432387732161871,0.21,Random walk
80,-5.231670640811065,0.21,Random walk
81,-4.517791490083489,0.21,Random walk
82,-4.2932572211519995,0.21,Random walk
83,-4.545151277797309,0.21,Random walk
84,-4.026113522176211,0.21,Random walk
85,-3.76372526380994,0.21,Random walk
86,-3.86487205056026,0.21,Random walk
87,-5.619633521293421,0.21,Random walk
88,-3.6846429104840244,0.21,Random walk
89,-3.6566115495054072,0.21,Random walk
90,-3.521671557010379,0.21,Random walk
91,-3.4635358265225396,0.21,Random walk
92,-3.3544017066563354,0.21,Random walk
93,-3.271246184884892,0.21,Random walk
94,-3.7136800732841064,0.21,Random walk
95,-3.1709108252375615,0.21,Random walk
96,-3.384833640146126,0.21,Random walk
97,-3.127001931228456,0.21,Random walk
98,-3.0770743126415705,0.21,Random walk
99,-3.8478662344268857,0.21,Random walk
100,-3.2617208263230224,0.21,Random walk
1,0.0,0.22,Random walk
2,-6.8732101205113425,0.22,Random walk
3,-4.146312245547665,0.22,Random walk
4,-4.147218563357622,0.22,Random walk
5,-4.259381411943711,0.22,Random walk
6,-4.284507002041659,0.22,Random walk
7,-4.1401360978690285,0.22,Random walk
8,-4.15909956907335,0.22,Random walk
9,-4.276715162274474,0.22,Random walk
10,-4.309793169075768,0.22,Random walk
11,-4.149974263753874,0.22,Random walk
12,-4.120965306212705,0.22,Random walk
13,-4.226083054226766,0.22,Random walk
14,-4.165260495125356,0.22,Random walk
15,-4.203098639386595,0.22,Random walk
16,-4.733992494228683,0.22,Random walk
17,-4.250405658226771,0.22,Random walk
18,-4.306448280808637,0.22,Random walk
19,-4.702323399078504,0.22,Random walk
20,-4.55173917729528,0.22,Random walk
21,-4.591478415022345,0.22,Random walk
22,-4.545980074842775,0.22,Random walk
23,-4.545952922215397,0.22,Random walk
24,-4.90571420826205,0.22,Random walk
25,-4.567299515931063,0.22,Random walk
26,-4.698463131519805,0.22,Random walk
27,-5.077004217592703,0.22,Random walk
28,-4.595668712373244,0.22,Random walk
29,-4.6210710792293295,0.22,Random walk
30,-4.668236022973235,0.22,Random walk
31,-5.700462056963246,0.22,Random walk
32,-4.778338974970283,0.22,Random walk
33,-4.704885229325286,0.22,Random walk
34,-4.752687079118994,0.22,Random walk
35,-4.999682079740564,0.22,Random walk
36,-4.6712022136339355,0.22,Random walk
37,-4.6362845951869955,0.22,Random walk
38,-5.39551230599031,0.22,Random walk
39,-4.887264859694451,0.22,Random walk
40,-4.911919765888614,0.22,Random walk
41,-4.823906398982479,0.22,Random walk
42,-4.841122042678214,0.22,Random walk
43,-5.1689800375452295,0.22,Random walk
44,-5.083586737145338,0.22,Random walk
45,-5.1432224586685225,0.22,Random walk
46,-5.178656731262024,0.22,Random walk
47,-5.258452567656801,0.22,Random walk
48,-5.219767682747702,0.22,Random walk
49,-5.430575581993005,0.22,Random walk
50,-5.31769301118576,0.22,Random walk
51,-5.480682565787999,0.22,Random walk
52,-5.400905820614631,0.22,Random walk
53,-5.294900506739012,0.22,Random walk
54,-5.184807833079046,0.22,Random walk
55,-5.211605579255942,0.22,Random walk
56,-5.342372890346676,0.22,Random walk
57,-5.296876697173435,0.22,Random walk
58,-5.465829926195922,0.22,Random walk
59,-5.514733943081916,0.22,Random walk
60,-5.462577509740304,0.22,Random walk
61,-5.459658898606393,0.22,Random walk
62,-5.357909941439686,0.22,Random walk
63,-5.3255468360267875,0.22,Random walk
64,-5.886951066373012,0.22,Random walk
65,-5.618633320720141,0.22,Random walk
66,-5.389604448610484,0.22,Random walk
67,-5.2101481321390875,0.22,Random walk
68,-5.258184209327238,0.22,Random walk
69,-5.292321565323653,0.22,Random walk
70,-5.031839105554113,0.22,Random walk
71,-5.082968704092473,0.22,Random walk
72,-4.966824582361255,0.22,Random walk
73,-4.8138631596871075,0.22,Random walk
74,-4.665032946267038,0.22,Random walk
75,-4.584626129260495,0.22,Random walk
76,-4.536486126926689,0.22,Random walk
77,-5.217866253780114,0.22,Random walk
78,-4.8997105686952445,0.22,Random walk
79,-4.460126605130105,0.22,Random walk
80,-5.198749123242438,0.22,Random walk
81,-4.550387293849086,0.22,Random walk
82,-4.323525563482369,0.22,Random walk
83,-4.546989790225004,0.22,Random walk
84,-4.048158770693191,0.22,Random walk
85,-3.7958625462575677,0.22,Random walk
86,-3.8811822592469385,0.22,Random walk
87,-5.548320054915902,0.22,Random walk
88,-3.7215065056131085,0.22,Random walk
89,-3.6790964371895183,0.22,Random walk
90,-3.548713030749621,0.22,Random walk
91,-3.4921570110578997,0.22,Random walk
92,-3.3809441283282626,0.22,Random walk
93,-3.298028374124485,0.22,Random walk
94,-3.718105087678355,0.22,Random walk
95,-3.1997111978265056,0.22,Random walk
96,-3.3985570191670647,0.22,Random walk
97,-3.1536847525958196,0.22,Random walk
98,-3.102588471946183,0.22,Random walk
99,-3.839492212475152,0.22,Random walk
100,-3.2751107590655435,0.22,Random walk
1,0.0,0.23,Random walk
2,-6.873148973433563,0.23,Random walk
3,-4.176158119167201,0.23,Random walk
4,-4.178407674227944,0.23,Random walk
5,-4.285371173844068,0.23,Random walk
6,-4.307232226158309,0.23,Random walk
7,-4.173559444727182,0.23,Random walk
8,-4.1890118594729335,0.23,Random walk
9,-4.300162203741162,0.23,Random walk
10,-4.337614297834505,0.23,Random walk
11,-4.181005881901418,0.23,Random walk
12,-4.153603255620364,0.23,Random walk
13,-4.252631336134682,0.23,Random walk
14,-4.198008697049776,0.23,Random walk
15,-4.2342211180065,0.23,Random walk
16,-4.73442920363399,0.23,Random walk
17,-4.28471975991856,0.23,Random walk
18,-4.337426573999399,0.23,Random walk
19,-4.710521845691453,0.23,Random walk
20,-4.581777646574152,0.23,Random walk
21,-4.616764234851334,0.23,Random walk
22,-4.5797712672155555,0.23,Random walk
23,-4.580268030095364,0.23,Random walk
24,-4.919047510404978,0.23,Random walk
25,-4.601771836871516,0.23,Random walk
26,-4.726965503439035,0.23,Random walk
27,-5.086361450165632,0.23,Random walk
28,-4.631083892324567,0.23,Random walk
29,-4.656464777256728,0.23,Random walk
30,-4.699265032587116,0.23,Random walk
31,-5.6660644386815635,0.23,Random walk
32,-4.81507625248445,0.23,Random walk
33,-4.740907147344536,0.23,Random walk
34,-4.7859251514291135,0.23,Random walk
35,-5.011858316869427,0.23,Random walk
36,-4.7041671222121755,0.23,Random walk
37,-4.672775247331015,0.23,Random walk
38,-5.380004952657411,0.23,Random walk
39,-4.919717353889896,0.23,Random walk
40,-4.936852550778104,0.23,Random walk
41,-4.8583831630628795,0.23,Random walk
42,-4.878464583901567,0.23,Random walk
43,-5.185486569986546,0.23,Random walk
44,-5.11236431086378,0.23,Random walk
45,-5.177354805324648,0.23,Random walk
46,-5.209705332967518,0.23,Random walk
47,-5.284063224479682,0.23,Random walk
48,-5.2468857376166955,0.23,Random walk
49,-5.444709258144333,0.23,Random walk
50,-5.3479325089141225,0.23,Random walk
51,-5.496248577230037,0.23,Random walk
52,-5.430316851915737,0.23,Random walk
53,-5.326363739011545,0.23,Random walk
54,-5.22382015798292,0.23,Random walk
55,-5.250351557099825,0.23,Random walk
56,-5.373085559208321,0.23,Random walk
57,-5.336076215764099,0.23,Random walk
58,-5.494612244395153,0.23,Random walk
59,-5.547272372988917,0.23,Random walk
60,-5.495917856176671,0.23,Random walk
61,-5.492119494194572,0.23,Random walk
62,-5.396239949879511,0.23,Random walk
63,-5.365613857519089,0.23,Random walk
64,-5.88225218849324,0.23,Random walk
65,-5.628051550795563,0.23,Random walk
66,-5.421436455398791,0.23,Random walk
67,-5.245921235606624,0.23,Random walk
68,-5.286239307879296,0.23,Random walk
69,-5.320831359865673,0.23,Random walk
70,-5.070155782822566,0.23,Random walk
71,-5.115887032410083,0.23,Random walk
72,-4.998862102250388,0.23,Random walk
73,-4.848343222088465,0.23,Random walk
74,-4.701984085418018,0.23,Random walk
75,-4.6197552111974005,0.23,Random walk
76,-4.566330074178317,0.23,Random walk
77,-5.197009117002365,0.23,Random walk
78,-4.914477711318769,0.23,Random walk
79,-4.486972439627874,0.23,Random walk
80,-5.171569299876061,0.23,Random walk
81,-4.581690298252095,0.23,Random walk
82,-4.353460941501108,0.23,Random walk
83,-4.55165621686273,0.23,Random walk
84,-4.070825807710602,0.23,Random walk
85,-3.8268808252924407,0.23,Random walk
86,-3.8980695582538907,0.23,Random walk
87,-5.480888694379076,0.23,Random walk
88,-3.7568503778746796,0.23,Random walk
89,-3.701089823494036,0.23,Random walk
90,-3.5753549380685197,0.23,Random walk
91,-3.520019501347446,0.23,Random walk
92,-3.4066540057483192,0.23,Random walk
93,-3.3242772207418603,0.23,Random walk
94,-3.722668146939685,0.23,Random walk
95,-3.2279893794630983,0.23,Random walk
96,-3.4126485349738767,0.23,Random walk
97,-3.179969415678728,0.23,Random walk
98,-3.127625237264052,0.23,Random walk
99,-3.8325676175594303,0.23,Random walk
100,-3.2896149302833035,0.23,Random walk
1,0.0,0.24,Random walk
2,-6.873053298159777,0.24,Random walk
3,-4.20549615164913,0.24,Random walk
4,-4.208974295367682,0.24,Random walk
5,-4.311098528056899,0.24,Random walk
6,-4.329573211861518,0.24,Random walk
7,-4.206118080525382,0.24,Random walk
8,-4.218298886993666,0.24,Random walk
9,-4.323692262159297,0.24,Random walk
10,-4.364862024725762,0.24,Random walk
11,-4.21147905016793,0.24,Random walk
12,-4.185468270004714,0.24,Random walk
13,-4.278818776982346,0.24,Random walk
14,-4.230026257261337,0.24,Random walk
15,-4.264668729475674,0.24,Random walk
16,-4.736285000150537,0.24,Random walk
