t,swll,k,simulation
85,-15.98336144179379,18,Step-change
86,-18.23330494741475,18,Step-change
87,-12.807620036025867,18,Step-change
88,-19.922370768634266,18,Step-change
89,-15.639323561903836,18,Step-change
90,-17.72111459240341,18,Step-change
91,-8.39331481655205,18,Step-change
92,-8.2008646922082,18,Step-change
93,-5.154444289712899,18,Step-change
94,-5.781983241651176,18,Step-change
95,-5.958644499813147,18,Step-change
96,-3.8275775342384577,18,Step-change
97,-3.7291571893989044,18,Step-change
98,-6.0693706194031165,18,Step-change
99,-3.4780804394429765,18,Step-change
100,-4.8765876719660355,18,Step-change
1,0.0,19,Step-change
2,0.0,19,Step-change
3,-24.53871319416467,19,Step-change
4,-16.945955093069472,19,Step-change
5,-10.481233086589725,19,Step-change
6,-7.843145422593267,19,Step-change
7,-6.804136415456753,19,Step-change
8,-3.464270218348531,19,Step-change
9,-5.445820269314737,19,Step-change
10,-3.1326616103146137,19,Step-change
11,-4.75497752207869,19,Step-change
12,-3.481906107851785,19,Step-change
13,-4.761811446885076,19,Step-change
14,-6.583716268272383,19,Step-change
15,-3.5934508685707556,19,Step-change
16,-3.9351179662491518,19,Step-change
17,-3.8553910925885475,19,Step-change
18,-3.795372165265263,19,Step-change
19,-3.3205139981858167,19,Step-change
20,-3.99147524531989,19,Step-change
21,-3.3951623073965607,19,Step-change
22,-2.575324510413438,19,Step-change
23,-2.7940113857950593,19,Step-change
24,-2.6917946432493665,19,Step-change
25,-2.7453970106093237,19,Step-change
26,-2.839787630312685,19,Step-change
27,-3.510637766978661,19,Step-change
28,-4.504180052164401,19,Step-change
29,-19.31293125049575,19,Step-change
30,-9.904726817871051,19,Step-change
31,-8.314401990523322,19,Step-change
32,-11.119167379981434,19,Step-change
33,-9.12487304940933,19,Step-change
34,-7.548699799318342,19,Step-change
35,-6.543468775103719,19,Step-change
36,-4.095971730810248,19,Step-change
37,-12.028293064474838,19,Step-change
38,-5.188105734893128,19,Step-change
39,-5.300423579185491,19,Step-change
40,-6.602488026645034,19,Step-change
41,-5.044375446195318,19,Step-change
42,-3.108470967626914,19,Step-change
43,-3.362062342365107,19,Step-change
44,-3.2145486140435082,19,Step-change
45,-6.811414906854736,19,Step-change
46,-3.3208439850293985,19,Step-change
47,-3.674684596845111,19,Step-change
48,-4.083531376878113,19,Step-change
49,-3.525445106074301,19,Step-change
50,-3.51484502683752,19,Step-change
51,-3.490058613082624,19,Step-change
52,-4.26814420332164,19,Step-change
53,-3.9079353188921004,19,Step-change
54,-4.366487231790757,19,Step-change
55,-3.626855448119386,19,Step-change
56,-43.21132381059414,19,Step-change
57,-48.022024876808416,19,Step-change
58,-28.076854089753283,19,Step-change
59,-28.47175947852213,19,Step-change
60,-24.80756466328205,19,Step-change
61,-15.213363082813942,19,Step-change
62,-15.924703659811541,19,Step-change
63,-14.21792736180754,19,Step-change
64,-15.497996724050893,19,Step-change
65,-7.503202617638124,19,Step-change
66,-7.824013392806364,19,Step-change
67,-7.314196734948837,19,Step-change
68,-5.942031378748197,19,Step-change
69,-5.323381032268173,19,Step-change
70,-3.361529181327228,19,Step-change
71,-4.315853521496933,19,Step-change
72,-3.2189611288335414,19,Step-change
73,-2.9961659050238723,19,Step-change
74,-2.9299366035860146,19,Step-change
75,-3.2272542126913777,19,Step-change
76,-2.8903673805815515,19,Step-change
77,-3.0591720653779078,19,Step-change
78,-3.1599169598949572,19,Step-change
79,-3.30537140377308,19,Step-change
80,-3.034676198614278,19,Step-change
81,-2.680111278248461,19,Step-change
82,-2.985644954709045,19,Step-change
83,-2.692383520443599,19,Step-change
84,-12.99568648104389,19,Step-change
85,-16.095705167788537,19,Step-change
86,-18.429397565881914,19,Step-change
87,-13.100226143603294,19,Step-change
88,-20.08659561773021,19,Step-change
89,-16.346263302220905,19,Step-change
90,-18.52873134794737,19,Step-change
91,-9.025423267243923,19,Step-change
92,-9.031353247638776,19,Step-change
93,-5.8014518629635745,19,Step-change
94,-6.369348078943915,19,Step-change
95,-6.541392781612046,19,Step-change
96,-4.206148208754598,19,Step-change
97,-4.064586064277137,19,Step-change
98,-6.892937990470045,19,Step-change
99,-3.5031689158349764,19,Step-change
100,-4.514913516710067,19,Step-change
1,0.0,20,Step-change
2,0.0,20,Step-change
3,-24.53871319416467,20,Step-change
4,-16.945955093069472,20,Step-change
5,-10.481233086589725,20,Step-change
6,-7.843145422593267,20,Step-change
7,-6.804136415456753,20,Step-change
8,-3.464270218348531,20,Step-change
9,-5.445820269314737,20,Step-change
10,-3.1326616103146137,20,Step-change
11,-4.75497752207869,20,Step-change
12,-3.481906107851785,20,Step-change
13,-4.761811446885076,20,Step-change
14,-6.583716268272383,20,Step-change
15,-3.5934508685707556,20,Step-change
16,-3.9351179662491518,20,Step-change
17,-3.8553910925885475,20,Step-change
18,-3.795372165265263,20,Step-change
19,-3.3205139981858167,20,Step-change
20,-4.747537217261268,20,Step-change
21,-3.713297611121746,20,Step-change
22,-2.588021279544847,20,Step-change
23,-2.8006562754409146,20,Step-change
24,-2.6979131860007044,20,Step-change
25,-2.750404605000142,20,Step-change
26,-2.8361181185042454,20,Step-change
27,-3.6378634420261307,20,Step-change
28,-4.494936638613737,20,Step-change
29,-18.804645871310754,20,Step-change
30,-9.970031224451134,20,Step-change
31,-7.794859930655036,20,Step-change
32,-11.297222727581925,20,Step-change
33,-9.583529637639487,20,Step-change
34,-7.744135828117578,20,Step-change
35,-6.840283283634932,20,Step-change
36,-4.3049552227221,20,Step-change
37,-12.734597374186649,20,Step-change
38,-5.541151311627772,20,Step-change
39,-5.8434118249375615,20,Step-change
40,-7.3095522952921215,20,Step-change
41,-5.459580068252876,20,Step-change
42,-3.1601091489795863,20,Step-change
43,-3.5281654287724677,20,Step-change
44,-3.1801503474864035,20,Step-change
45,-7.477321211541096,20,Step-change
46,-3.2933885137524044,20,Step-change
47,-3.7543973266878083,20,Step-change
48,-4.186483570196344,20,Step-change
49,-3.525322089032784,20,Step-change
50,-3.505373164937396,20,Step-change
51,-3.4876715724299174,20,Step-change
52,-4.27067329435431,20,Step-change
53,-3.9169662316535323,20,Step-change
54,-4.394396964379666,20,Step-change
55,-3.627730725440074,20,Step-change
56,-43.818943527196154,20,Step-change
57,-48.11067403697922,20,Step-change
58,-28.36738086745163,20,Step-change
59,-29.14681163062221,20,Step-change
60,-25.43599820981325,20,Step-change
61,-15.427955769930634,20,Step-change
62,-16.36190598428874,20,Step-change
63,-14.558327383392282,20,Step-change
64,-16.65278897457887,20,Step-change
65,-7.922594426532498,20,Step-change
66,-8.4868662148711,20,Step-change
67,-7.713956707461932,20,Step-change
68,-6.404366508562703,20,Step-change
69,-5.804885848501897,20,Step-change
70,-3.613440078840938,20,Step-change
71,-4.714134239977454,20,Step-change
72,-3.573117443581566,20,Step-change
73,-3.307139639023376,20,Step-change
74,-3.2486113205942218,20,Step-change
75,-3.215282279670788,20,Step-change
76,-2.9125547848024667,20,Step-change
77,-3.045471854156034,20,Step-change
78,-3.1385048817622874,20,Step-change
79,-3.2736376412154016,20,Step-change
80,-3.0685715963456346,20,Step-change
81,-2.6798577866642006,20,Step-change
82,-2.983337439109107,20,Step-change
83,-2.6713352286112126,20,Step-change
84,-12.823617534364217,20,Step-change
85,-16.144002093962882,20,Step-change
86,-18.656549043534767,20,Step-change
87,-13.338701952568044,20,Step-change
88,-20.601690048739044,20,Step-change
89,-16.617581571401104,20,Step-change
