t,Ct,Rt,simulation
54,184,0.9551803455482835,Sinusoidal
55,181,0.8669815772166627,Sinusoidal
56,179,0.7830581304412211,Sinusoidal
57,142,0.7061073738537635,Sinusoidal
58,124,0.6386025680863043,Sinusoidal
59,119,0.5827133731393488,Sinusoidal
60,108,0.5402361137242748,Sinusoidal
61,85,0.5125360439090882,Sinusoidal
62,92,0.5005034667293426,Sinusoidal
63,69,0.5045251191160326,Sinusoidal
64,72,0.5244717418524232,Sinusoidal
65,86,0.5597022340716309,Sinusoidal
66,67,0.6090842587659849,Sinusoidal
67,75,0.6710306370301435,Sinusoidal
68,72,0.7435503612970467,Sinusoidal
69,82,0.8243125879593285,Sinusoidal
70,81,0.9107215526006814,Sinusoidal
71,88,0.9999999999999998,Sinusoidal
72,91,1.089278447399318,Sinusoidal
73,104,1.175687412040671,Sinusoidal
74,110,1.256449638702953,Sinusoidal
75,109,1.3289693629698562,Sinusoidal
76,131,1.3909157412340147,Sinusoidal
77,147,1.440297765928369,Sinusoidal
78,135,1.4755282581475768,Sinusoidal
79,161,1.4954748808839673,Sinusoidal
80,184,1.4994965332706574,Sinusoidal
81,211,1.4874639560909118,Sinusoidal
82,159,1.4597638862757254,Sinusoidal
83,197,1.4172866268606514,Sinusoidal
84,206,1.3613974319136959,Sinusoidal
85,176,1.2938926261462367,Sinusoidal
86,203,1.2169418695587793,Sinusoidal
87,203,1.1330184227833378,Sinusoidal
88,187,1.044819654451717,Sinusoidal
89,202,0.9551803455482836,Sinusoidal
90,144,0.8669815772166627,Sinusoidal
91,139,0.7830581304412212,Sinusoidal
92,119,0.7061073738537638,Sinusoidal
93,106,0.6386025680863044,Sinusoidal
94,87,0.5827133731393488,Sinusoidal
95,80,0.5402361137242748,Sinusoidal
96,70,0.5125360439090882,Sinusoidal
97,64,0.5005034667293426,Sinusoidal
98,74,0.5045251191160326,Sinusoidal
99,50,0.5244717418524232,Sinusoidal
100,68,0.5597022340716309,Sinusoidal
1,65,0.6666666666666666,Step-change
2,87,0.6666666666666666,Step-change
3,69,0.6666666666666666,Step-change
4,57,0.6666666666666666,Step-change
5,55,0.6666666666666666,Step-change
6,52,0.6666666666666666,Step-change
7,48,0.6666666666666666,Step-change
8,57,0.6666666666666666,Step-change
9,44,0.6666666666666666,Step-change
10,53,0.6666666666666666,Step-change
11,41,0.6666666666666666,Step-change
12,60,0.6666666666666666,Step-change
13,38,0.6666666666666666,Step-change
14,31,0.6666666666666666,Step-change
15,38,0.6666666666666666,Step-change
16,34,0.6666666666666666,Step-change
17,32,0.6666666666666666,Step-change
18,30,0.6666666666666666,Step-change
19,30,0.6666666666666666,Step-change
20,23,0.6666666666666666,Step-change
21,22,0.6666666666666666,Step-change
22,26,0.6666666666666666,Step-change
23,21,0.6666666666666666,Step-change
24,20,0.6666666666666666,Step-change
25,18,0.6666666666666666,Step-change
26,16,0.6666666666666666,Step-change
27,12,0.6666666666666666,Step-change
28,26,1.5,Step-change
29,45,1.5,Step-change
30,36,1.5,Step-change
31,35,1.5,Step-change
32,42,1.5,Step-change
33,43,1.5,Step-change
34,44,1.5,Step-change
35,46,1.5,Step-change
36,43,1.5,Step-change
37,66,1.5,Step-change
38,57,1.5,Step-change
39,64,1.5,Step-change
40,76,1.5,Step-change
41,79,1.5,Step-change
42,72,1.5,Step-change
43,84,1.5,Step-change
44,84,1.5,Step-change
45,122,1.5,Step-change
46,105,1.5,Step-change
47,126,1.5,Step-change
48,113,1.5,Step-change
49,129,1.5,Step-change
50,139,1.5,Step-change
51,154,1.5,Step-change
52,147,1.5,Step-change
53,184,1.5,Step-change
54,204,1.5,Step-change
55,204,1.5,Step-change
56,97,0.6666666666666666,Step-change
57,88,0.6666666666666666,Step-change
58,107,0.6666666666666666,Step-change
59,96,0.6666666666666666,Step-change
60,91,0.6666666666666666,Step-change
61,99,0.6666666666666666,Step-change
62,88,0.6666666666666666,Step-change
63,83,0.6666666666666666,Step-change
64,71,0.6666666666666666,Step-change
65,82,0.6666666666666666,Step-change
66,73,0.6666666666666666,Step-change
67,68,0.6666666666666666,Step-change
68,66,0.6666666666666666,Step-change
69,62,0.6666666666666666,Step-change
70,67,0.6666666666666666,Step-change
71,55,0.6666666666666666,Step-change
72,56,0.6666666666666666,Step-change
73,52,0.6666666666666666,Step-change
74,46,0.6666666666666666,Step-change
75,40,0.6666666666666666,Step-change
76,46,0.6666666666666666,Step-change
77,46,0.6666666666666666,Step-change
78,34,0.6666666666666666,Step-change
79,31,0.6666666666666666,Step-change
80,30,0.6666666666666666,Step-change
81,32,0.6666666666666666,Step-change
82,35,0.6666666666666666,Step-change
83,27,0.6666666666666666,Step-change
84,55,1.5,Step-change
85,60,1.5,Step-change
86,66,1.5,Step-change
87,63,1.5,Step-change
88,79,1.5,Step-change
89,81,1.5,Step-change
90,94,1.5,Step-change
91,86,1.5,Step-change
92,96,1.5,Step-change
93,96,1.5,Step-change
94,109,1.5,Step-change
95,121,1.5,Step-change
96,120,1.5,Step-change
97,131,1.5,Step-change
98,163,1.5,Step-change
99,151,1.5,Step-change
100,144,1.5,Step-change
