k,p,simulation,model,TrueParam,iter
25,0.0,Sinusoidal,EpiEstim,35,1
26,0.0,Sinusoidal,EpiEstim,35,1
27,0.0,Sinusoidal,EpiEstim,35,1
28,0.0,Sinusoidal,EpiEstim,35,1
29,0.0,Sinusoidal,EpiEstim,35,1
30,0.0,Sinusoidal,EpiEstim,35,1
1,3.25624515760361e-96,Sinusoidal,EpiEstim,40,1
2,0.19033575651549706,Sinusoidal,EpiEstim,40,1
3,0.8096642434710689,Sinusoidal,EpiEstim,40,1
4,1.343408512468863e-11,Sinusoidal,EpiEstim,40,1
5,4.5021809087674e-27,Sinusoidal,EpiEstim,40,1
6,5.434791420095054e-46,Sinusoidal,EpiEstim,40,1
7,1.6607142464720857e-67,Sinusoidal,EpiEstim,40,1
8,2.7027726635386333e-92,Sinusoidal,EpiEstim,40,1
9,2.1802173644349526e-119,Sinusoidal,EpiEstim,40,1
10,3.273814214078647e-147,Sinusoidal,EpiEstim,40,1
11,1.7752468144500895e-175,Sinusoidal,EpiEstim,40,1
12,1.3196494796375523e-202,Sinusoidal,EpiEstim,40,1
13,4.363628196072304e-231,Sinusoidal,EpiEstim,40,1
14,5.926680257407502e-259,Sinusoidal,EpiEstim,40,1
15,1.448565367311817e-286,Sinusoidal,EpiEstim,40,1
16,1.486218769715e-312,Sinusoidal,EpiEstim,40,1
17,0.0,Sinusoidal,EpiEstim,40,1
18,0.0,Sinusoidal,EpiEstim,40,1
19,0.0,Sinusoidal,EpiEstim,40,1
20,0.0,Sinusoidal,EpiEstim,40,1
21,0.0,Sinusoidal,EpiEstim,40,1
22,0.0,Sinusoidal,EpiEstim,40,1
23,0.0,Sinusoidal,EpiEstim,40,1
24,0.0,Sinusoidal,EpiEstim,40,1
25,0.0,Sinusoidal,EpiEstim,40,1
26,0.0,Sinusoidal,EpiEstim,40,1
27,0.0,Sinusoidal,EpiEstim,40,1
28,0.0,Sinusoidal,EpiEstim,40,1
29,0.0,Sinusoidal,EpiEstim,40,1
30,0.0,Sinusoidal,EpiEstim,40,1
1,4.0096994753507965e-94,Sinusoidal,EpiEstim,45,1
2,0.984198890095127,Sinusoidal,EpiEstim,45,1
3,0.01580110989552647,Sinusoidal,EpiEstim,45,1
4,9.346652102438688e-12,Sinusoidal,EpiEstim,45,1
5,1.4214981955937507e-24,Sinusoidal,EpiEstim,45,1
6,4.487252047886136e-41,Sinusoidal,EpiEstim,45,1
7,2.8683873926138703e-61,Sinusoidal,EpiEstim,45,1
8,3.7924661646331844e-84,Sinusoidal,EpiEstim,45,1
9,1.4927835726822775e-109,Sinusoidal,EpiEstim,45,1
10,1.690556539212184e-135,Sinusoidal,EpiEstim,45,1
11,2.4776170919853023e-162,Sinusoidal,EpiEstim,45,1
12,4.471128112013354e-190,Sinusoidal,EpiEstim,45,1
13,2.174713522905131e-218,Sinusoidal,EpiEstim,45,1
14,3.774942974402824e-246,Sinusoidal,EpiEstim,45,1
15,5.676449119610625e-274,Sinusoidal,EpiEstim,45,1
16,2.7733717263791214e-301,Sinusoidal,EpiEstim,45,1
17,0.0,Sinusoidal,EpiEstim,45,1
18,0.0,Sinusoidal,EpiEstim,45,1
19,0.0,Sinusoidal,EpiEstim,45,1
20,0.0,Sinusoidal,EpiEstim,45,1
21,0.0,Sinusoidal,EpiEstim,45,1
22,0.0,Sinusoidal,EpiEstim,45,1
23,0.0,Sinusoidal,EpiEstim,45,1
24,0.0,Sinusoidal,EpiEstim,45,1
25,0.0,Sinusoidal,EpiEstim,45,1
26,0.0,Sinusoidal,EpiEstim,45,1
27,0.0,Sinusoidal,EpiEstim,45,1
28,0.0,Sinusoidal,EpiEstim,45,1
29,0.0,Sinusoidal,EpiEstim,45,1
30,0.0,Sinusoidal,EpiEstim,45,1
1,4.634112965204673e-101,Sinusoidal,EpiEstim,50,1
2,0.13185562450205573,Sinusoidal,EpiEstim,50,1
3,0.8681442532571219,Sinusoidal,EpiEstim,50,1
4,1.2224082247109038e-7,Sinusoidal,EpiEstim,50,1
5,2.1890062668303583e-19,Sinusoidal,EpiEstim,50,1
6,3.6360507579121883e-34,Sinusoidal,EpiEstim,50,1
7,8.410204946131351e-51,Sinusoidal,EpiEstim,50,1
8,2.9358344250253715e-70,Sinusoidal,EpiEstim,50,1
9,5.66132972679985e-91,Sinusoidal,EpiEstim,50,1
10,4.154503379067998e-113,Sinusoidal,EpiEstim,50,1
11,1.0601276202645092e-136,Sinusoidal,EpiEstim,50,1
12,6.873361102648442e-161,Sinusoidal,EpiEstim,50,1
13,2.2332541446432946e-185,Sinusoidal,EpiEstim,50,1
14,3.0050709459979834e-209,Sinusoidal,EpiEstim,50,1
15,1.0210768402503245e-233,Sinusoidal,EpiEstim,50,1
16,3.0341459158392197e-257,Sinusoidal,EpiEstim,50,1
17,2.716694156902458e-280,Sinusoidal,EpiEstim,50,1
18,9.687460617392736e-303,Sinusoidal,EpiEstim,50,1
19,5.0e-324,Sinusoidal,EpiEstim,50,1
20,0.0,Sinusoidal,EpiEstim,50,1
21,0.0,Sinusoidal,EpiEstim,50,1
22,0.0,Sinusoidal,EpiEstim,50,1
23,0.0,Sinusoidal,EpiEstim,50,1
24,0.0,Sinusoidal,EpiEstim,50,1
25,0.0,Sinusoidal,EpiEstim,50,1
26,0.0,Sinusoidal,EpiEstim,50,1
27,0.0,Sinusoidal,EpiEstim,50,1
28,0.0,Sinusoidal,EpiEstim,50,1
29,0.0,Sinusoidal,EpiEstim,50,1
30,0.0,Sinusoidal,EpiEstim,50,1
1,2.795120307233479e-43,Sinusoidal,EpiEstim,10,2
2,1.0,Sinusoidal,EpiEstim,10,2
3,2.0310642918247063e-88,Sinusoidal,EpiEstim,10,2
4,5.098536994078897e-193,Sinusoidal,EpiEstim,10,2
5,1.765303876358316e-287,Sinusoidal,EpiEstim,10,2
6,0.0,Sinusoidal,EpiEstim,10,2
7,0.0,Sinusoidal,EpiEstim,10,2
8,0.0,Sinusoidal,EpiEstim,10,2
9,7.113616096024886e-302,Sinusoidal,EpiEstim,10,2
10,5.896558335409557e-242,Sinusoidal,EpiEstim,10,2
11,7.46886851245472e-189,Sinusoidal,EpiEstim,10,2
12,3.4814692637057636e-157,Sinusoidal,EpiEstim,10,2
13,9.864026529339415e-151,Sinusoidal,EpiEstim,10,2
14,7.788386625987026e-168,Sinusoidal,EpiEstim,10,2
15,1.728726440101454e-198,Sinusoidal,EpiEstim,10,2
16,2.6945363813935842e-229,Sinusoidal,EpiEstim,10,2
17,2.0389344628102908e-249,Sinusoidal,EpiEstim,10,2
18,1.181151829600086e-253,Sinusoidal,EpiEstim,10,2
19,2.0722707338034012e-241,Sinusoidal,EpiEstim,10,2
20,1.576883614959026e-219,Sinusoidal,EpiEstim,10,2
21,4.922327917756342e-196,Sinusoidal,EpiEstim,10,2
22,1.8752751770647803e-179,Sinusoidal,EpiEstim,10,2
23,1.5906394310945985e-174,Sinusoidal,EpiEstim,10,2
24,4.673565368071172e-182,Sinusoidal,EpiEstim,10,2
25,1.5607264043633395e-197,Sinusoidal,EpiEstim,10,2
26,2.392964680301742e-214,Sinusoidal,EpiEstim,10,2
27,8.885251699539903e-227,Sinusoidal,EpiEstim,10,2
28,1.010384371074366e-230,Sinusoidal,EpiEstim,10,2
29,4.0179340011024517e-225,Sinusoidal,EpiEstim,10,2
30,2.7263126648525343e-213,Sinusoidal,EpiEstim,10,2
1,1.0416736111903144e-74,Sinusoidal,EpiEstim,15,2
2,1.0,Sinusoidal,EpiEstim,15,2
3,1.373887926062781e-37,Sinusoidal,EpiEstim,15,2
4,1.1375335622735804e-86,Sinusoidal,EpiEstim,15,2
5,1.4887802275603808e-143,Sinusoidal,EpiEstim,15,2
6,1.0759386016086226e-201,Sinusoidal,EpiEstim,15,2
7,1.500159797852756e-254,Sinusoidal,EpiEstim,15,2
8,1.595929943871528e-296,Sinusoidal,EpiEstim,15,2
9,1.0e-323,Sinusoidal,EpiEstim,15,2
10,0.0,Sinusoidal,EpiEstim,15,2
11,0.0,Sinusoidal,EpiEstim,15,2
12,9.158e-320,Sinusoidal,EpiEstim,15,2
13,5.304119151934754e-295,Sinusoidal,EpiEstim,15,2
14,1.0708124748594563e-264,Sinusoidal,EpiEstim,15,2
15,2.1913652982761785e-233,Sinusoidal,EpiEstim,15,2
16,2.21202055358621e-205,Sinusoidal,EpiEstim,15,2
17,4.849358850745101e-184,Sinusoidal,EpiEstim,15,2
18,9.643493195319891e-172,Sinusoidal,EpiEstim,15,2
19,1.2338010190098455e-168,Sinusoidal,EpiEstim,15,2
20,3.3608374999002565e-174,Sinusoidal,EpiEstim,15,2
21,4.627332068881028e-186,Sinusoidal,EpiEstim,15,2
22,1.1207114948195562e-201,Sinusoidal,EpiEstim,15,2
23,2.563841609267895e-218,Sinusoidal,EpiEstim,15,2
24,2.75335432851421e-233,Sinusoidal,EpiEstim,15,2
25,3.8737663877070774e-244,Sinusoidal,EpiEstim,15,2
26,4.995144530671342e-250,Sinusoidal,EpiEstim,15,2
27,8.821308634573053e-250,Sinusoidal,EpiEstim,15,2
28,6.372305091485731e-244,Sinusoidal,EpiEstim,15,2
29,2.135672846888211e-234,Sinusoidal,EpiEstim,15,2
30,2.7909921238407073e-223,Sinusoidal,EpiEstim,15,2
1,7.20538667872628e-78,Sinusoidal,EpiEstim,20,2
2,1.0,Sinusoidal,EpiEstim,20,2
3,1.8581400725345812e-19,Sinusoidal,EpiEstim,20,2
4,3.7241636504052868e-50,Sinusoidal,EpiEstim,20,2
5,4.969264689768772e-90,Sinusoidal,EpiEstim,20,2
6,7.260915498621608e-135,Sinusoidal,EpiEstim,20,2
7,1.5507155265019337e-182,Sinusoidal,EpiEstim,20,2
8,7.390260203272792e-229,Sinusoidal,EpiEstim,20,2
9,1.5613110917449863e-270,Sinusoidal,EpiEstim,20,2
10,1.4640342941226442e-307,Sinusoidal,EpiEstim,20,2
11,0.0,Sinusoidal,EpiEstim,20,2
12,0.0,Sinusoidal,EpiEstim,20,2
13,0.0,Sinusoidal,EpiEstim,20,2
14,0.0,Sinusoidal,EpiEstim,20,2
15,0.0,Sinusoidal,EpiEstim,20,2
16,0.0,Sinusoidal,EpiEstim,20,2
17,0.0,Sinusoidal,EpiEstim,20,2
18,4.5451021363e-314,Sinusoidal,EpiEstim,20,2
19,3.8559756768475755e-290,Sinusoidal,EpiEstim,20,2
20,2.182470929343375e-266,Sinusoidal,EpiEstim,20,2
21,7.954731777370725e-245,Sinusoidal,EpiEstim,20,2
22,5.88177023256559e-227,Sinusoidal,EpiEstim,20,2
23,1.0898728408070566e-213,Sinusoidal,EpiEstim,20,2
24,1.5371867948618196e-205,Sinusoidal,EpiEstim,20,2
25,1.6637494609660531e-202,Sinusoidal,EpiEstim,20,2
26,1.277717034113231e-204,Sinusoidal,EpiEstim,20,2
27,6.02660000657459e-211,Sinusoidal,EpiEstim,20,2
28,4.94896205233162e-220,Sinusoidal,EpiEstim,20,2
29,2.916174970616466e-231,Sinusoidal,EpiEstim,20,2
30,2.5337602111010854e-243,Sinusoidal,EpiEstim,20,2
1,1.2711803132000085e-87,Sinusoidal,EpiEstim,25,2
2,0.9999999999999554,Sinusoidal,EpiEstim,25,2
3,4.470179018467712e-14,Sinusoidal,EpiEstim,25,2
4,8.750096435991044e-36,Sinusoidal,EpiEstim,25,2
5,7.904910124319918e-70,Sinusoidal,EpiEstim,25,2
6,3.617915586073599e-107,Sinusoidal,EpiEstim,25,2
7,1.8801142742329323e-148,Sinusoidal,EpiEstim,25,2
8,1.8305182498354537e-190,Sinusoidal,EpiEstim,25,2
9,1.98325453132017e-232,Sinusoidal,EpiEstim,25,2
10,4.5509821002910265e-273,Sinusoidal,EpiEstim,25,2
11,4.5537274124483e-311,Sinusoidal,EpiEstim,25,2
12,0.0,Sinusoidal,EpiEstim,25,2
13,0.0,Sinusoidal,EpiEstim,25,2
14,0.0,Sinusoidal,EpiEstim,25,2
15,0.0,Sinusoidal,EpiEstim,25,2
16,0.0,Sinusoidal,EpiEstim,25,2
17,0.0,Sinusoidal,EpiEstim,25,2
18,0.0,Sinusoidal,EpiEstim,25,2
19,0.0,Sinusoidal,EpiEstim,25,2
20,0.0,Sinusoidal,EpiEstim,25,2
21,0.0,Sinusoidal,EpiEstim,25,2
