eta,p,simulation,model
0.154,1.394195867439875e-5,Random walk,EpiFilter
0.155,1.043424186478184e-5,Random walk,EpiFilter
0.156,7.785574443897319e-6,Random walk,EpiFilter
0.157,5.792265278821698e-6,Random walk,EpiFilter
0.158,4.297033012548169e-6,Random walk,EpiFilter
0.15899999999999997,3.178959188434363e-6,Random walk,EpiFilter
0.16,2.3454701853424673e-6,Random walk,EpiFilter
0.161,1.7259786944910947e-6,Random walk,EpiFilter
0.162,1.2668713881770111e-6,Random walk,EpiFilter
0.163,9.275801679286081e-7,Random walk,EpiFilter
0.16399999999999998,6.77519332271635e-7,Random walk,EpiFilter
0.16499999999999998,4.937100623587086e-7,Random walk,EpiFilter
0.166,3.589470058422997e-7,Random walk,EpiFilter
0.167,2.6038986853219796e-7,Random walk,EpiFilter
0.168,1.8848633274777315e-7,Random walk,EpiFilter
0.169,1.3615188823756895e-7,Random walk,EpiFilter
0.16999999999999998,9.814786179243018e-8,Random walk,EpiFilter
0.17099999999999999,7.061161018754379e-8,Random walk,EpiFilter
0.17200000000000001,5.070299488131457e-8,Random walk,EpiFilter
0.17300000000000001,3.6339326839321966e-8,Random walk,EpiFilter
0.17400000000000002,2.5997338336986145e-8,Random walk,EpiFilter
0.175,1.8565731311141148e-8,Random walk,EpiFilter
0.176,1.3235741912066936e-8,Random walk,EpiFilter
0.177,9.420174363754493e-9,Random walk,EpiFilter
0.178,6.693678926969765e-9,Random walk,EpiFilter
0.17900000000000002,4.748828291984815e-9,Random walk,EpiFilter
0.18,3.363904077557052e-9,Random walk,EpiFilter
0.181,2.379335666862005e-9,Random walk,EpiFilter
0.182,1.6805126177365837e-9,Random walk,EpiFilter
0.183,1.185278287444704e-9,Random walk,EpiFilter
0.184,8.348519743498787e-10,Random walk,EpiFilter
0.18500000000000003,5.87255268182498e-10,Random walk,EpiFilter
0.186,4.12562688032013e-10,Random walk,EpiFilter
0.187,2.894779281667834e-10,Random walk,EpiFilter
0.188,2.0287099496884285e-10,Random walk,EpiFilter
0.189,1.420102203128515e-10,Random walk,EpiFilter
0.19,9.92956360287045e-11,Random walk,EpiFilter
0.19099999999999998,6.935329019444322e-11,Random walk,EpiFilter
0.192,4.838886188777858e-11,Random walk,EpiFilter
0.193,3.3727171975325447e-11,Random walk,EpiFilter
0.194,2.348470195224896e-11,Random walk,EpiFilter
0.195,1.6337097200128032e-11,Random walk,EpiFilter
0.19599999999999998,1.135437535196908e-11,Random walk,EpiFilter
0.19699999999999998,7.884308589049887e-12,Random walk,EpiFilter
0.198,5.4700236063582924e-12,Random walk,EpiFilter
0.199,3.791865530647326e-12,Random walk,EpiFilter
0.2,2.626439727954809e-12,Random walk,EpiFilter
0.201,1.8177958476338602e-12,Random walk,EpiFilter
0.20199999999999999,1.2571816716153297e-12,Random walk,EpiFilter
0.20299999999999999,8.688365696206546e-13,Random walk,EpiFilter
0.204,6.000353854682315e-13,Random walk,EpiFilter
0.20500000000000002,4.1411952634267633e-13,Random walk,EpiFilter
0.20600000000000002,2.8562469224352774e-13,Random walk,EpiFilter
0.207,1.968783095596491e-13,Random walk,EpiFilter
0.208,1.356259320568753e-13,Random walk,EpiFilter
0.209,9.3377185804631e-14,Random walk,EpiFilter
0.21,6.425430519070541e-14,Random walk,EpiFilter
0.21100000000000002,4.41913330033316e-14,Random walk,EpiFilter
0.21200000000000002,3.037772183477296e-14,Random walk,EpiFilter
0.213,2.0872099582973956e-14,Random walk,EpiFilter
0.214,1.4334393678609527e-14,Random walk,EpiFilter
0.215,9.840201544643848e-15,Random walk,EpiFilter
0.216,6.752260269876729e-15,Random walk,EpiFilter
0.217,4.631521942403728e-15,Random walk,EpiFilter
0.218,3.175677039309889e-15,Random walk,EpiFilter
0.219,2.17668452908157e-15,Random walk,EpiFilter
0.22,1.4914529198879418e-15,Random walk,EpiFilter
0.221,1.0216136271880507e-15,Random walk,EpiFilter
0.222,6.99575979174813e-16,Random walk,EpiFilter
0.22299999999999998,4.789189696208162e-16,Random walk,EpiFilter
0.224,3.2777500354216857e-16,Random walk,EpiFilter
0.225,2.2427652326392186e-16,Random walk,EpiFilter
0.226,1.5342403415234048e-16,Random walk,EpiFilter
0.227,1.0493294021989722e-16,Random walk,EpiFilter
0.228,7.175402533098201e-17,Random walk,EpiFilter
0.22899999999999998,4.905730278467632e-17,Random walk,EpiFilter
0.23,3.3534426626736e-17,Random walk,EpiFilter
0.231,2.2920001756880656e-17,Random walk,EpiFilter
0.232,1.5663237910790698e-17,Random walk,EpiFilter
0.233,1.0702815714790204e-17,Random walk,EpiFilter
0.23399999999999999,7.312577845336006e-18,Random walk,EpiFilter
0.235,4.9958010572230706e-18,Random walk,EpiFilter
0.236,3.4127781474622247e-18,Random walk,EpiFilter
0.23700000000000002,2.331230749840124e-18,Random walk,EpiFilter
0.23800000000000002,1.5923650478797923e-18,Random walk,EpiFilter
0.239,1.0876419538845849e-18,Random walk,EpiFilter
0.24,7.42883778019078e-19,Random walk,EpiFilter
0.241,5.074029279735528e-19,Random walk,EpiFilter
0.242,3.4656738750313237e-19,Random walk,EpiFilter
0.24300000000000002,2.3671752106667987e-19,Random walk,EpiFilter
0.24400000000000002,1.616911924528138e-19,Random walk,EpiFilter
0.245,1.1044873223095274e-19,Random walk,EpiFilter
0.246,7.544988587777819e-20,Random walk,EpiFilter
0.247,5.154480443919428e-20,Random walk,EpiFilter
0.248,3.521636675252073e-20,Random walk,EpiFilter
0.249,2.4062588247086184e-20,Random walk,EpiFilter
0.25,1.6443072834066053e-20,Random walk,EpiFilter
0.251,1.1237535978026374e-20,Random walk,EpiFilter
0.252,7.680884319769064e-21,Random walk,EpiFilter
0.253,5.250586609077269e-21,Random walk,EpiFilter
0.254,3.5897588940926054e-21,Random walk,EpiFilter
0.255,2.454640437074389e-21,Random walk,EpiFilter
0.256,1.6787261712589718e-21,Random walk,EpiFilter
0.257,1.1482735374226469e-21,Random walk,EpiFilter
0.25799999999999995,7.855764248575322e-22,Random walk,EpiFilter
0.259,5.37542882531442e-22,Random walk,EpiFilter
0.26,3.6789450861131305e-22,Random walk,EpiFilter
0.261,2.5183893078551326e-22,Random walk,EpiFilter
0.262,1.724310956007386e-22,Random walk,EpiFilter
0.26299999999999996,1.1808784235555928e-22,Random walk,EpiFilter
0.264,8.0890090130919e-23,Random walk,EpiFilter
0.26499999999999996,5.542294141253413e-23,Random walk,EpiFilter
0.266,3.798319262699901e-23,Random walk,EpiFilter
0.267,2.6037810674770484e-23,Random walk,EpiFilter
0.268,1.7853853473236152e-23,Random walk,EpiFilter
0.269,1.224552213880445e-23,Random walk,EpiFilter
0.26999999999999996,8.401247278665223e-24,Random walk,EpiFilter
0.271,5.765467990175636e-24,Random walk,EpiFilter
0.272,3.9577910500278576e-24,Random walk,EpiFilter
0.273,2.717701555871394e-24,Random walk,EpiFilter
0.274,1.8667420791773847e-24,Random walk,EpiFilter
0.27499999999999997,1.2826362773960704e-24,Random walk,EpiFilter
0.276,8.815811775525285e-25,Random walk,EpiFilter
0.27699999999999997,6.061269225327139e-25,Random walk,EpiFilter
0.278,4.168791274382844e-25,Random walk,EpiFilter
0.279,2.8681695628589554e-25,Random walk,EpiFilter
0.27999999999999997,1.9740144305134582e-25,Random walk,EpiFilter
0.281,1.359093503313776e-25,Random walk,EpiFilter
0.282,9.36061747721032e-26,Random walk,EpiFilter
0.28300000000000003,6.449386369008098e-26,Random walk,EpiFilter
0.284,4.4452231600191365e-26,Random walk,EpiFilter
0.285,3.0650143403449466e-26,Random walk,EpiFilter
0.28600000000000003,2.1141591177915498e-26,Random walk,EpiFilter
0.287,1.4588527226978747e-26,Random walk,EpiFilter
0.28800000000000003,1.0070619996592569e-26,Random walk,EpiFilter
0.289,6.954633698432488e-27,Random walk,EpiFilter
0.29,4.804717722051875e-27,Random walk,EpiFilter
0.291,3.320773771328447e-27,Random walk,EpiFilter
0.292,2.2960994013754078e-27,Random walk,EpiFilter
0.29300000000000004,1.5882695519803861e-27,Random walk,EpiFilter
0.294,1.0991120557284088e-27,Random walk,EpiFilter
0.295,7.609323283303736e-28,Random walk,EpiFilter
0.296,5.270337531852904e-28,Random walk,EpiFilter
0.297,3.651919059705632e-28,Random walk,EpiFilter
0.29800000000000004,2.5316060600751545e-28,Random walk,EpiFilter
0.299,1.7557605749037148e-28,Random walk,EpiFilter
0.30000000000000004,1.218233445020523e-28,Random walk,EpiFilter
0.301,8.456558214195216e-29,Random walk,EpiFilter
0.302,5.872952257384121e-29,Random walk,EpiFilter
0.303,4.080569408628876e-29,Random walk,EpiFilter
0.304,2.8365358289952264e-29,Random walk,EpiFilter
0.30500000000000005,1.972698354412956e-29,Random walk,EpiFilter
0.306,1.3725863032657454e-29,Random walk,EpiFilter
0.307,9.55491529292201e-30,Random walk,EpiFilter
0.308,6.654628606507044e-30,Random walk,EpiFilter
0.309,4.6369474214641225e-30,Random walk,EpiFilter
0.31,3.2326108208253396e-30,Random walk,EpiFilter
0.311,2.2547016275444246e-30,Random walk,EpiFilter
0.312,1.5734053089358523e-30,Random walk,EpiFilter
0.313,1.098523778859249e-30,Random walk,EpiFilter
0.314,7.673562629965659e-31,Random walk,EpiFilter
0.315,5.362962150919441e-31,Random walk,EpiFilter
0.316,3.7500225847764106e-31,Random walk,EpiFilter
0.317,2.6235286949529445e-31,Random walk,EpiFilter
0.318,1.8363769457067503e-31,Random walk,EpiFilter
0.319,1.2860657977611946e-31,Random walk,EpiFilter
0.32,9.011376317756359e-32,Random walk,EpiFilter
0.321,6.317523345035217e-32,Random walk,EpiFilter
0.32199999999999995,4.431304143070365e-32,Random walk,EpiFilter
0.323,3.109899775729755e-32,Random walk,EpiFilter
0.324,2.183697554203649e-32,Random walk,EpiFilter
0.325,1.534161029475579e-32,Random walk,EpiFilter
0.326,1.0784073721515252e-32,Random walk,EpiFilter
0.32699999999999996,7.584539976024265e-33,Random walk,EpiFilter
0.328,5.337171573437353e-33,Random walk,EpiFilter
0.32899999999999996,3.757764936114983e-33,Random walk,EpiFilter
0.33,2.647192719282959e-33,Random walk,EpiFilter
0.331,1.865863928603056e-33,Random walk,EpiFilter
0.332,1.3158723706141906e-33,Random walk,EpiFilter
0.333,9.285127355419118e-34,Random walk,EpiFilter
0.33399999999999996,6.55545957546356e-34,Random walk,EpiFilter
0.335,4.630847356137233e-34,Random walk,EpiFilter
