eta,p,simulation,model
0.188,0.014998524932516912,Random walk,EpiFilter
0.189,0.015208797687862909,Random walk,EpiFilter
0.19,0.015394195971645902,Random walk,EpiFilter
0.19099999999999998,0.015554109457688337,Random walk,EpiFilter
0.192,0.01568806556249119,Random walk,EpiFilter
0.193,0.015795730518260567,Random walk,EpiFilter
0.194,0.015876909213140146,Random walk,EpiFilter
0.195,0.015931543837950344,Random walk,EpiFilter
0.19599999999999998,0.01595971139172784,Random walk,EpiFilter
0.19699999999999998,0.015961620110219878,Random walk,EpiFilter
0.198,0.01593760489182406,Random walk,EpiFilter
0.199,0.015888121804412247,Random walk,EpiFilter
0.2,0.01581374176352355,Random walk,EpiFilter
0.201,0.01571514347840414,Random walk,EpiFilter
0.20199999999999999,0.015593105766107122,Random walk,EpiFilter
0.20299999999999999,0.0154484993367061,Random walk,EpiFilter
0.204,0.015282278153387023,Random walk,EpiFilter
0.20500000000000002,0.015095470470976018,Random walk,EpiFilter
0.20600000000000002,0.014889169654588655,Random walk,EpiFilter
0.207,0.014664524877172356,Random walk,EpiFilter
0.208,0.014422731790504484,Random walk,EpiFilter
0.209,0.014165023259415087,Random walk,EpiFilter
0.21,0.013892660242862216,Random walk,EpiFilter
0.21100000000000002,0.013606922899084186,Random walk,EpiFilter
0.21200000000000002,0.013309101984951666,Random walk,EpiFilter
0.213,0.013000490612118838,Random walk,EpiFilter
0.214,0.012682376414762636,Random walk,EpiFilter
0.215,0.012356034175906933,Random walk,EpiFilter
0.216,0.012022718951291407,Random walk,EpiFilter
0.217,0.011683659721968352,Random walk,EpiFilter
0.218,0.011340053599185036,Random walk,EpiFilter
0.219,0.01099306059771036,Random walk,EpiFilter
0.22,0.010643798986800032,Random walk,EpiFilter
0.221,0.010293341221385078,Random walk,EpiFilter
0.222,0.00994271045001675,Random walk,EpiFilter
0.22299999999999998,0.009592877590476185,Random walk,EpiFilter
0.224,0.009244758958918412,Random walk,EpiFilter
0.225,0.008899214434019597,Random walk,EpiFilter
0.226,0.008557046133589282,Random walk,EpiFilter
0.227,0.008218997577925043,Random walk,EpiFilter
0.228,0.007885753311312171,Random walk,EpiFilter
0.22899999999999998,0.007557938950976435,Random walk,EpiFilter
0.23,0.007236121631051007,Random walk,EpiFilter
0.231,0.006920810808009551,Random walk,EpiFilter
0.232,0.006612459393282018,Random walk,EpiFilter
0.233,0.00631146517855196,Random walk,EpiFilter
0.23399999999999999,0.006018172519310049,Random walk,EpiFilter
0.235,0.005732874242819025,Random walk,EpiFilter
0.236,0.005455813747387088,Random walk,EpiFilter
0.23700000000000002,0.005187187260965758,Random walk,EpiFilter
0.23800000000000002,0.004927146228443494,Random walk,EpiFilter
0.239,0.004675799798491328,Random walk,EpiFilter
0.24,0.004433217382537111,Random walk,EpiFilter
0.241,0.004199431260240651,Random walk,EpiFilter
0.242,0.003974439207763419,Random walk,EpiFilter
0.24300000000000002,0.0037582071270702514,Random walk,EpiFilter
0.24400000000000002,0.003550671656513233,Random walk,EpiFilter
0.245,0.0033517427449328402,Random walk,EpiFilter
0.246,0.0031613061735006683,Random walk,EpiFilter
0.247,0.0029792260114722808,Random walk,EpiFilter
0.248,0.0028053469938823937,Random walk,EpiFilter
0.249,0.00263949681105404,Random walk,EpiFilter
0.25,0.002481488301507028,Random walk,EpiFilter
0.251,0.0023311215414782717,Random walk,EpiFilter
0.252,0.002188185825803061,Random walk,EpiFilter
0.253,0.0020524615363416835,Random walk,EpiFilter
0.254,0.001923721895417176,Random walk,EpiFilter
0.255,0.0018017346029591834,Random walk,EpiFilter
0.256,0.0016862633571012378,Random walk,EpiFilter
0.257,0.0015770692589872949,Random walk,EpiFilter
0.25799999999999995,0.001473912103353818,Random walk,EpiFilter
0.259,0.0013765515572592745,Random walk,EpiFilter
0.26,0.0012847482299427997,Random walk,EpiFilter
0.261,0.0011982646373687033,Random walk,EpiFilter
0.262,0.0011168660654596529,Random walk,EpiFilter
0.26299999999999996,0.001040321336406329,Random walk,EpiFilter
0.264,0.0009684034827217143,Random walk,EpiFilter
0.26499999999999996,0.0009008903339380149,Random walk,EpiFilter
0.266,0.0008375650209817083,Random walk,EpiFilter
0.267,0.000778216403366415,Random walk,EpiFilter
0.268,0.0007226394243655442,Random walk,EpiFilter
0.269,0.0006706353993161855,Random walk,EpiFilter
0.26999999999999996,0.0006220122421476049,Random walk,EpiFilter
0.271,0.0005765846351365898,Random walk,EpiFilter
0.272,0.000534174146757775,Random walk,EpiFilter
0.273,0.0004946093023479901,Random walk,EpiFilter
0.274,0.0004577256121277261,Random walk,EpiFilter
0.27499999999999997,0.00042336556092750966,Random walk,EpiFilter
0.276,0.00039137856375977753,Random walk,EpiFilter
0.27699999999999997,0.00036162089116024954,Random walk,EpiFilter
0.278,0.00033395556799592355,Random walk,EpiFilter
0.279,0.0003082522492113932,Random walk,EpiFilter
0.27999999999999997,0.0002843870757519659,Random walk,EpiFilter
0.281,0.0002622425136757421,Random walk,EpiFilter
0.282,0.00024170717923938407,Random walk,EpiFilter
0.28300000000000003,0.0002226756525206995,Random walk,EpiFilter
0.284,0.0002050482819287181,Random walk,EpiFilter
0.285,0.00018873098173749495,Random walk,EpiFilter
0.28600000000000003,0.0001736350245884086,Random walk,EpiFilter
0.287,0.0001596768307075153,Random walk,EpiFilter
0.28800000000000003,0.00014677775540725046,Random walk,EpiFilter
0.289,0.00013486387626832183,Random walk,EpiFilter
0.29,0.00012386578123834436,Random walk,EpiFilter
0.291,0.00011371835872937654,Random walk,EpiFilter
0.292,0.00010436059065944839,Random walk,EpiFilter
0.29300000000000004,9.573534924968897e-5,Random walk,EpiFilter
0.294,8.778919826963848e-5,Random walk,EpiFilter
0.295,8.047219931169228e-5,Random walk,EpiFilter
0.296,7.37377235741528e-5,Random walk,EpiFilter
0.297,6.754226954041604e-5,Random walk,EpiFilter
0.29800000000000004,6.184528685765067e-5,Random walk,EpiFilter
