k,p,simulation,model,TrueParam,iter
30,0.0,Random walk,EpiEstim,0.45,1
1,1.0,Random walk,EpiEstim,0.5,1
2,0.0,Random walk,EpiEstim,0.5,1
3,0.0,Random walk,EpiEstim,0.5,1
4,0.0,Random walk,EpiEstim,0.5,1
5,0.0,Random walk,EpiEstim,0.5,1
6,0.0,Random walk,EpiEstim,0.5,1
7,0.0,Random walk,EpiEstim,0.5,1
8,0.0,Random walk,EpiEstim,0.5,1
9,0.0,Random walk,EpiEstim,0.5,1
10,0.0,Random walk,EpiEstim,0.5,1
11,0.0,Random walk,EpiEstim,0.5,1
12,0.0,Random walk,EpiEstim,0.5,1
13,0.0,Random walk,EpiEstim,0.5,1
14,0.0,Random walk,EpiEstim,0.5,1
15,0.0,Random walk,EpiEstim,0.5,1
16,0.0,Random walk,EpiEstim,0.5,1
17,0.0,Random walk,EpiEstim,0.5,1
18,0.0,Random walk,EpiEstim,0.5,1
19,0.0,Random walk,EpiEstim,0.5,1
20,0.0,Random walk,EpiEstim,0.5,1
21,0.0,Random walk,EpiEstim,0.5,1
22,0.0,Random walk,EpiEstim,0.5,1
23,0.0,Random walk,EpiEstim,0.5,1
24,0.0,Random walk,EpiEstim,0.5,1
25,0.0,Random walk,EpiEstim,0.5,1
26,0.0,Random walk,EpiEstim,0.5,1
27,0.0,Random walk,EpiEstim,0.5,1
28,0.0,Random walk,EpiEstim,0.5,1
29,0.0,Random walk,EpiEstim,0.5,1
30,0.0,Random walk,EpiEstim,0.5,1
1,1.5319921582795063e-106,Random walk,EpiEstim,0.01,2
2,6.31116019660447e-12,Random walk,EpiEstim,0.01,2
3,6.918738267801176e-7,Random walk,EpiEstim,0.01,2
4,2.1422470252916965e-7,Random walk,EpiEstim,0.01,2
5,1.4110152271700037e-5,Random walk,EpiEstim,0.01,2
6,4.8796259563359594e-5,Random walk,EpiEstim,0.01,2
7,0.001188879503643089,Random walk,EpiEstim,0.01,2
8,0.009076946863068215,Random walk,EpiEstim,0.01,2
9,0.037504444191591386,Random walk,EpiEstim,0.01,2
10,0.11244894273215433,Random walk,EpiEstim,0.01,2
11,0.04661788596609338,Random walk,EpiEstim,0.01,2
12,0.27444595200515565,Random walk,EpiEstim,0.01,2
13,0.11848184731427243,Random walk,EpiEstim,0.01,2
14,0.06581449729390638,Random walk,EpiEstim,0.01,2
15,0.014151020303411102,Random walk,EpiEstim,0.01,2
16,0.011869294528151797,Random walk,EpiEstim,0.01,2
17,0.03333156290362682,Random walk,EpiEstim,0.01,2
18,0.025589901571015334,Random walk,EpiEstim,0.01,2
19,0.03869622102221025,Random walk,EpiEstim,0.01,2
20,0.022244802179196915,Random walk,EpiEstim,0.01,2
21,0.02714329985371292,Random walk,EpiEstim,0.01,2
22,0.022556136787496912,Random walk,EpiEstim,0.01,2
23,0.012624066830813564,Random walk,EpiEstim,0.01,2
24,0.027974807726975727,Random walk,EpiEstim,0.01,2
25,0.016415117595526076,Random walk,EpiEstim,0.01,2
26,0.011193692398915095,Random walk,EpiEstim,0.01,2
27,0.008266958420377805,Random walk,EpiEstim,0.01,2
28,0.007275534438485405,Random walk,EpiEstim,0.01,2
29,0.01534082745176099,Random walk,EpiEstim,0.01,2
30,0.03968354760176295,Random walk,EpiEstim,0.01,2
1,4.281208479296888e-100,Random walk,EpiEstim,0.05,2
2,0.19469449583728426,Random walk,EpiEstim,0.05,2
3,0.7954608451157616,Random walk,EpiEstim,0.05,2
4,0.00981519132858085,Random walk,EpiEstim,0.05,2
5,2.9405644296027365e-5,Random walk,EpiEstim,0.05,2
6,6.207155475860239e-8,Random walk,EpiEstim,0.05,2
7,2.5223338365353135e-12,Random walk,EpiEstim,0.05,2
8,9.244227238523459e-18,Random walk,EpiEstim,0.05,2
9,1.2356122206676328e-24,Random walk,EpiEstim,0.05,2
10,3.304050805381104e-31,Random walk,EpiEstim,0.05,2
11,2.2854944533873699e-38,Random walk,EpiEstim,0.05,2
12,1.4600868435111508e-45,Random walk,EpiEstim,0.05,2
13,1.009680771059962e-52,Random walk,EpiEstim,0.05,2
14,7.456227469787279e-60,Random walk,EpiEstim,0.05,2
15,1.1047139327037002e-66,Random walk,EpiEstim,0.05,2
16,1.472775252700296e-73,Random walk,EpiEstim,0.05,2
17,2.8065204423674767e-80,Random walk,EpiEstim,0.05,2
18,6.947518819013638e-87,Random walk,EpiEstim,0.05,2
19,3.2403844362537476e-93,Random walk,EpiEstim,0.05,2
20,5.5554529037354025e-99,Random walk,EpiEstim,0.05,2
21,1.712686599459579e-104,Random walk,EpiEstim,0.05,2
22,1.1556863846412722e-109,Random walk,EpiEstim,0.05,2
23,5.5946693350968616e-114,Random walk,EpiEstim,0.05,2
24,2.295182015193788e-118,Random walk,EpiEstim,0.05,2
25,7.375043460452809e-122,Random walk,EpiEstim,0.05,2
26,1.6272578265492674e-124,Random walk,EpiEstim,0.05,2
27,4.98587616630713e-127,Random walk,EpiEstim,0.05,2
28,4.100995924332288e-129,Random walk,EpiEstim,0.05,2
29,8.738286076043252e-132,Random walk,EpiEstim,0.05,2
30,1.461095521386639e-133,Random walk,EpiEstim,0.05,2
1,4.3397880828927183e-82,Random walk,EpiEstim,0.1,2
2,0.00032160241719386196,Random walk,EpiEstim,0.1,2
3,0.15553107577895814,Random walk,EpiEstim,0.1,2
4,0.8429480462068654,Random walk,EpiEstim,0.1,2
5,0.0008362695368238912,Random walk,EpiEstim,0.1,2
6,0.0003122144772082738,Random walk,EpiEstim,0.1,2
7,4.784474168182134e-5,Random walk,EpiEstim,0.1,2
8,2.6159234820422145e-6,Random walk,EpiEstim,0.1,2
9,3.1573815253227806e-7,Random walk,EpiEstim,0.1,2
10,1.5178628301366845e-8,Random walk,EpiEstim,0.1,2
11,1.0037458859347046e-12,Random walk,EpiEstim,0.1,2
12,1.901230444261527e-15,Random walk,EpiEstim,0.1,2
13,7.672606499451761e-19,Random walk,EpiEstim,0.1,2
14,1.2654606310411176e-20,Random walk,EpiEstim,0.1,2
15,1.4936269177961827e-22,Random walk,EpiEstim,0.1,2
16,5.495992508948983e-24,Random walk,EpiEstim,0.1,2
17,1.1075062440862974e-24,Random walk,EpiEstim,0.1,2
18,3.0027186096173293e-25,Random walk,EpiEstim,0.1,2
19,5.429703987427792e-26,Random walk,EpiEstim,0.1,2
20,8.520841017172813e-27,Random walk,EpiEstim,0.1,2
21,4.779075482363652e-27,Random walk,EpiEstim,0.1,2
22,9.162682926263517e-28,Random walk,EpiEstim,0.1,2
23,5.385651755485656e-28,Random walk,EpiEstim,0.1,2
24,5.894911989857424e-28,Random walk,EpiEstim,0.1,2
25,1.581793470092054e-28,Random walk,EpiEstim,0.1,2
26,7.412658278683446e-29,Random walk,EpiEstim,0.1,2
27,1.1699513316082031e-29,Random walk,EpiEstim,0.1,2
28,3.3202670193363134e-30,Random walk,EpiEstim,0.1,2
29,2.110552728163403e-30,Random walk,EpiEstim,0.1,2
30,7.382239412160215e-31,Random walk,EpiEstim,0.1,2
1,8.661635369650855e-45,Random walk,EpiEstim,0.15,2
2,1.0,Random walk,EpiEstim,0.15,2
3,2.4573857307421783e-38,Random walk,EpiEstim,0.15,2
4,4.453169993082259e-93,Random walk,EpiEstim,0.15,2
5,1.9253377865402584e-157,Random walk,EpiEstim,0.15,2
6,1.008060867291065e-224,Random walk,EpiEstim,0.15,2
7,6.319041743053207e-307,Random walk,EpiEstim,0.15,2
8,0.0,Random walk,EpiEstim,0.15,2
9,0.0,Random walk,EpiEstim,0.15,2
10,0.0,Random walk,EpiEstim,0.15,2
11,0.0,Random walk,EpiEstim,0.15,2
12,0.0,Random walk,EpiEstim,0.15,2
13,0.0,Random walk,EpiEstim,0.15,2
14,0.0,Random walk,EpiEstim,0.15,2
15,0.0,Random walk,EpiEstim,0.15,2
16,0.0,Random walk,EpiEstim,0.15,2
17,0.0,Random walk,EpiEstim,0.15,2
18,0.0,Random walk,EpiEstim,0.15,2
19,0.0,Random walk,EpiEstim,0.15,2
